회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별)
(주)CMG제약,58820,Dec-11,9270949,27305198,9257624,27548539
(주)CMG제약,58820,Dec-12,25517350,57108035,25386064,56988604
(주)CMG제약,58820,Dec-13,6915281,55912563,6913407,55961620
(주)CMG제약,58820,Dec-14,9065682,58068326,9060059,58127098
(주)CMG제약,58820,Dec-15,9725933,56532821,9719267,56591972
(주)CMG제약,58820,Dec-16,9872232,110979867,9872232,110979867
(주)CMG제약,58820,Dec-17,11624134,109568153,11624134,109568153
(주)CMG제약,58820,Dec-18,10398033,114379880,10398033,114379880
(주)CMG제약,58820,Dec-19,12084883,192243166,12084883,192243166
(주)DB하이텍,990,Dec-11,890982181,1199043869,892247931,1183957429
(주)DB하이텍,990,Dec-12,866861695,1157755031,874516025,1149069244
(주)DB하이텍,990,Dec-13,853635085,1058391832,852207175,1049494642
(주)DB하이텍,990,Dec-14,864173902,984876636,865855755,1001959816
(주)DB하이텍,990,Dec-15,730586221,984643712,728010902,1005673854
(주)DB하이텍,990,Dec-16,644871257,986788572,641920423,1006370876
(주)DB하이텍,990,Dec-17,538152775,993950720,536028245,977575054
(주)DB하이텍,990,Dec-18,508142309,1066533840,508139265,1050696487
(주)DB하이텍,990,Dec-19,444239080,1088889810,444095557,1089400761
(주)ES큐브,50120,Dec-11,16231202,55477032,6089019,45233434
(주)ES큐브,50120,Dec-12,6421979,46281660,4794705,44676182
(주)ES큐브,50120,Dec-13,4765132,47137573,3796835,47509654
(주)ES큐브,50120,Dec-14,6983745,56611836,3687837,44914173
(주)ES큐브,50120,Dec-15,5965820,55620280,2251042,47123684
(주)ES큐브,50120,Dec-16,33468504,105164626,34627619,104459992
(주)ES큐브,50120,Dec-17,33075251,105892131,33451725,104850192
(주)ES큐브,50120,Dec-18,41682289,112430896,41963133,108481764
(주)ES큐브,50120,Dec-19,389920168,463958680,82079157,136065488
(주)HJ중공업,97230,Dec-11,5169832000,7036680000,3982242000,5857119000
(주)HJ중공업,97230,Dec-12,4869577000,6585093000,4074579000,5938108000
(주)HJ중공업,97230,Dec-13,5044381000,6683379000,4035024000,5839633000
(주)HJ중공업,97230,Dec-14,4897208000,6470284000,3707924000,5469810000
(주)HJ중공업,97230,Dec-15,4546048000,5914637000,3260852000,4638381000
(주)HJ중공업,97230,Dec-16,4361281000,5256464000,3017411000,3921561000
(주)HJ중공업,97230,Dec-17,3629457000,4206655000,2748893000,3312303000
(주)HJ중공업,97230,Dec-18,3441806000,2733620000,2787299000,2388369000
