회사명,거래소코드,회계년도,매출액(IFRS연결),부채(IFRS연결),매출액(IFRS개별),부채(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,9270949,17751704,9257624
(주)CMG제약,58820,Dec-12,16255389,25517350,16255389,25386064
(주)CMG제약,58820,Dec-13,20402140,6915281,20322140,6913407
(주)CMG제약,58820,Dec-14,22752584,9065682,22752584,9060059
(주)CMG제약,58820,Dec-15,27041894,9725933,27041894,9719267
(주)CMG제약,58820,Dec-16,32969825,9872232,32969825,9872232
(주)CMG제약,58820,Dec-17,41535588,11624134,41535588,11624134
(주)CMG제약,58820,Dec-18,49864782,10398033,49864782,10398033
(주)CMG제약,58820,Dec-19,58622681,12084883,58622681,12084883
(주)DB하이텍,990,Dec-11,552216245,890982181,534317238,892247931
(주)DB하이텍,990,Dec-12,590786488,866861695,583901597,874516025
(주)DB하이텍,990,Dec-13,493752028,853635085,493752028,852207175
(주)DB하이텍,990,Dec-14,567718224,864173902,567718224,865855755
(주)DB하이텍,990,Dec-15,666594987,730586221,666594987,728010902
(주)DB하이텍,990,Dec-16,773140180,644871257,773140180,641920423
(주)DB하이텍,990,Dec-17,679737744,538152775,679737744,536028245
(주)DB하이텍,990,Dec-18,669279136,508142309,669279136,508139265
(주)DB하이텍,990,Dec-19,807416423,444239080,807416423,444095557
(주)ES큐브,50120,Dec-11,53379952,16231202,41700477,6089019
(주)ES큐브,50120,Dec-12,55971147,6421979,44178050,4794705
(주)ES큐브,50120,Dec-13,58597361,4765132,45823196,3796835
(주)ES큐브,50120,Dec-14,44459581,6983745,37188072,3687837
(주)ES큐브,50120,Dec-15,42152967,5965820,36887119,2251042
(주)ES큐브,50120,Dec-16,34289385,33468504,34818205,34627619
(주)ES큐브,50120,Dec-17,35745794,33075251,37104908,33451725
(주)ES큐브,50120,Dec-18,33763508,41682289,31308873,41963133
(주)ES큐브,50120,Dec-19,43708239,389920168,28527284,82079157
(주)HJ중공업,97230,Dec-11,2891499000,5169832000,2316017000,3982242000
(주)HJ중공업,97230,Dec-12,2549319000,4869577000,1980761000,4074579000
(주)HJ중공업,97230,Dec-13,2529341000,5044381000,1927307000,4035024000
(주)HJ중공업,97230,Dec-14,2520325000,4897208000,1799016000,3707924000
(주)HJ중공업,97230,Dec-15,3115473000,4546048000,2041347000,3260852000
(주)HJ중공업,97230,Dec-16,2813271000,4361281000,1928591000,3017411000
(주)HJ중공업,97230,Dec-17,2452314000,3629457000,1737428000,2748893000
(주)HJ중공업,97230,Dec-18,1697869000,3441806000,1750954000,2787299000
(주)HJ중공업,97230,Dec-19,1628751000,2225228000,1609530000,2218378000
(주)MH에탄올,23150,Dec-11,44785159,91539513,43206995,79765833
(주)MH에탄올,23150,Dec-12,59768175,94707555,45488675,80487873
(주)MH에탄올,23150,Dec-13,62199887,83812413,46298516,75400817
(주)MH에탄올,23150,Dec-14,48983781,32746158,48983781,32745993
(주)MH에탄올,23150,Dec-15,50386203,21111704,50386203,21121539
(주)MH에탄올,23150,Dec-16,48897025,8757790,48897025,8767625
(주)MH에탄올,23150,Dec-17,51977132,393342742,48270464,42738147
(주)MH에탄올,23150,Dec-18,72795863,348592051,46943080,41185360
(주)MH에탄올,23150,Dec-19,80879342,372085374,46992295,41581021
(주)SH에너지화학,2360,Dec-11,173209351,39468414,172752632,37884515
(주)SH에너지화학,2360,Dec-12,193950102,38808867,191907628,37604198
(주)SH에너지화학,2360,Dec-13,231912218,40889810,229783541,40202877
(주)SH에너지화학,2360,Dec-14,230912587,26504210,226971465,25693965
(주)SH에너지화학,2360,Dec-15,216441364,23874505,213882181,23308070
(주)SH에너지화학,2360,Dec-16,218397677,20399837,214380015,19873862
(주)SH에너지화학,2360,Dec-17,188114822,17618682,184672638,17543581
(주)SH에너지화학,2360,Dec-18,183598766,17043794,180753289,16830322
(주)SH에너지화학,2360,Dec-19,140852575,24415856,138161816,23740037
(주)SIMPAC,9160,Dec-11,215365697,141938059,213867522,141119807
(주)SIMPAC,9160,Dec-12,225353321,130804553,223854758,129536202
(주)SIMPAC,9160,Dec-13,205751154,153154843,204527751,151936024
(주)SIMPAC,9160,Dec-14,263152264,162814028,227491803,125420957
(주)SIMPAC,9160,Dec-15,269528038,190825603,213152303,149261391
(주)SIMPAC,9160,Dec-16,267074156,177448939,215839356,137286101
(주)SIMPAC,9160,Dec-17,230634812,140332152,203150228,119223157
(주)SIMPAC,9160,Dec-18,306150809,246717950,268863854,217214665
(주)SIMPAC,9160,Dec-19,430085162,237950364,391970769,189477136
(주)SNT에너지,100840,Dec-11,,,195318747,115915976
(주)SNT에너지,100840,Dec-12,,,230707564,109495724
(주)SNT에너지,100840,Dec-13,,,200750984,113510608
(주)SNT에너지,100840,Dec-14,,,242746888,96799312
(주)SNT에너지,100840,Dec-15,,,260094045,84796156
(주)SNT에너지,100840,Dec-16,,,254089906,118242778
(주)SNT에너지,100840,Dec-17,,,184091945,66449368
(주)SNT에너지,100840,Dec-18,,,139516396,49715044
(주)SNT에너지,100840,Dec-19,213326726,88942325,202822913,85846184
(주)SNT홀딩스,36530,Dec-11,1663846065,813820784,2257851,284900
(주)SNT홀딩스,36530,Dec-12,1668749904,756881039,8718270,352990
(주)SNT홀딩스,36530,Dec-13,1576368464,774810996,8826810,484426
(주)SNT홀딩스,36530,Dec-14,1552374806,683347926,7701882,381380
(주)SNT홀딩스,36530,Dec-15,1612746929,640062214,8475099,8658519
(주)SNT홀딩스,36530,Dec-16,1537700275,679285814,9818190,318763
(주)SNT홀딩스,36530,Dec-17,1508152132,626881784,7417869,299279
(주)SNT홀딩스,36530,Dec-18,1401307482,610559077,7292112,231691
(주)SNT홀딩스,36530,Dec-19,1512114565,610745978,11015928,233270
(주)STX,11810,Dec-11,5967701000,3318233000,4173397000,2137600000
(주)STX,11810,Dec-12,6159850000,3560390000,4116767000,2103344000
(주)STX,11810,Dec-13,2449401000,1852183000,1895063000,1608657000
(주)STX,11810,Dec-14,1634606000,1161340000,1291351000,1015539000
(주)STX,11810,Dec-15,1630827000,1194882000,1362127000,985227000
(주)STX,11810,Dec-16,1720153000,1038305000,1465561000,956569000
(주)STX,11810,Dec-17,1803878000,584982000,1595494000,475683000
(주)STX,11810,Dec-18,1502985000,490033000,1329890000,384545000
(주)STX,11810,Dec-19,1471164000,503816000,1237876000,412118000
(주)TCC스틸,2710,Dec-11,514424043,228887542,456928069,202126588
(주)TCC스틸,2710,Dec-12,501337475,321015196,440568155,228887219
(주)TCC스틸,2710,Dec-13,500832754,337970494,419483813,234118683
(주)TCC스틸,2710,Dec-14,518995240,361962559,401323585,251203934
(주)TCC스틸,2710,Dec-15,495795871,290382095,350074629,254095791
(주)TCC스틸,2710,Dec-16,444453635,179577101,317235565,158254682
(주)TCC스틸,2710,Dec-17,391370092,177776736,333762378,159269192
(주)TCC스틸,2710,Dec-18,413176279,192535369,351301866,169783970
(주)TCC스틸,2710,Dec-19,437173902,197366953,339334364,172763630
(주)가비아,79940,Dec-11,52838864,16288697,33792831,12997135
