회사명,거래소코드,회계년도,현금및현금성자산(IFRS연결),유동부채(IFRS연결),현금및현금성자산(IFRS개별),유동부채(IFRS개별)
(주)CMG제약,58820,Dec-11,1152489,7633673,1152489,7620349
(주)CMG제약,58820,Dec-12,4674359,6793095,4673134,6665126
(주)CMG제약,58820,Dec-13,21705184,5500075,21704962,5498201
(주)CMG제약,58820,Dec-14,8827046,8719202,8826926,8713579
(주)CMG제약,58820,Dec-15,2566167,8849994,2566164,8843328
(주)CMG제약,58820,Dec-16,2148521,9136755,2148521,9136755
(주)CMG제약,58820,Dec-17,3799004,10884321,3799004,10884321
(주)CMG제약,58820,Dec-18,13464430,8495060,13464430,8495060
(주)CMG제약,58820,Dec-19,18579821,9306387,18579821,9306387
(주)DB하이텍,990,Dec-11,40025028,794704783,34534009,796794129
(주)DB하이텍,990,Dec-12,39917597,555433290,38557398,563352691
(주)DB하이텍,990,Dec-13,35222233,476867874,34683939,476710357
(주)DB하이텍,990,Dec-14,40369011,376436760,39292223,376149526
(주)DB하이텍,990,Dec-15,108132861,244044785,104789976,242109386
(주)DB하이텍,990,Dec-16,115579823,274231115,110782463,271946015
(주)DB하이텍,990,Dec-17,107494652,145225195,102087610,143100665
(주)DB하이텍,990,Dec-18,119106293,156796450,118765482,156793407
(주)DB하이텍,990,Dec-19,84776807,219715556,84227309,219572033
(주)ES큐브,50120,Dec-11,3160449,14801430,1507599,4839823
(주)ES큐브,50120,Dec-12,4071828,4802996,2224088,3228112
(주)ES큐브,50120,Dec-13,10119258,3630549,9130501,2690545
(주)ES큐브,50120,Dec-14,25536887,6002775,5336807,3055060
(주)ES큐브,50120,Dec-15,26509578,5378364,14592925,1792096
(주)ES큐브,50120,Dec-16,31283393,3406254,28643855,4569554
(주)ES큐브,50120,Dec-17,24250014,3702478,21621666,4085637
(주)ES큐브,50120,Dec-18,26730206,37613190,18764713,37696219
(주)ES큐브,50120,Dec-19,111347468,230135454,13606557,54789915
(주)HJ중공업,97230,Dec-11,854074000,2482598000,647026000,1800533000
(주)HJ중공업,97230,Dec-12,731662000,2448324000,622643000,2125376000
(주)HJ중공업,97230,Dec-13,590556000,3284862000,446094000,2490138000
(주)HJ중공업,97230,Dec-14,350490000,2843001000,215201000,2203465000
(주)HJ중공업,97230,Dec-15,163004000,3430218000,79869000,2558441000
(주)HJ중공업,97230,Dec-16,138821000,2636927000,98951000,1598996000
(주)HJ중공업,97230,Dec-17,145442000,3329421000,107247000,2532122000
(주)HJ중공업,97230,Dec-18,229003000,2140149000,228601000,1490510000
(주)HJ중공업,97230,Dec-19,122434000,1845223000,122369000,1840367000
(주)MH에탄올,23150,Dec-11,4086479,78266518,885201,66482839
(주)MH에탄올,23150,Dec-12,597206,81625166,2474,67402817
