,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명
0,(주)CMG제약,58820,2011/12,-2488268.0,-1845332.0,3038758.0,-2560438.0,-1773162.0,3038758.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1,(주)CMG제약,58820,2012/12,-1453276.0,-30286514.0,35260511.0,-1572581.0,-30265984.0,35360511.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2,(주)CMG제약,58820,2013/12,-3891420.0,20988786.0,-56948.0,-3939013.0,21135376.0,-156948.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
3,(주)CMG제약,58820,2014/12,730447.0,-13611109.0,0.0,724893.0,-13611109.0,5451.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0
4,(주)CMG제약,58820,2015/12,2411254.0,-8670890.0,0.0,2410205.0,-8670780.0,822.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0
5,(주)CMG제약,58820,2016/12,3321352.0,-56094458.0,52359861.0,3321352.0,-56094458.0,52359861.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
6,(주)CMG제약,58820,2017/12,1948086.0,-467123.0,171180.0,1948086.0,-467123.0,171180.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
7,(주)CMG제약,58820,2018/12,886779.0,8779219.0,0.0,886779.0,8779219.0,0.0,1.0,1.0,9.0,1.0,1.0,9.0,0.0
8,(주)CMG제약,58820,2019/12,2823387.0,-70595614.0,72877952.0,2823387.0,-70595614.0,72877952.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
9,(주)DB하이텍,990,2011/12,61642286.0,-26649125.0,-88776492.0,60749180.0,-23347990.0,-88776492.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
10,(주)DB하이텍,990,2012/12,68047966.0,-40437367.0,-22718301.0,73876619.0,-49272120.0,-22718301.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
11,(주)DB하이텍,990,2013/12,28528798.0,-13799557.0,-18089531.0,28380938.0,-14425742.0,-18089531.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
12,(주)DB하이텍,990,2014/12,47362460.0,-43422794.0,1205904.0,48078139.0,-43635104.0,1205904.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
13,(주)DB하이텍,990,2015/12,150510354.0,-12201261.0,-71767078.0,152722221.0,-12209258.0,-71767078.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
14,(주)DB하이텍,990,2016/12,247018873.0,-121028468.0,-118529941.0,248312191.0,-121031883.0,-118529941.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
15,(주)DB하이텍,990,2017/12,182244045.0,-101907140.0,-85790774.0,183124083.0,-101904145.0,-85790774.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
16,(주)DB하이텍,990,2018/12,182780278.0,-114336834.0,-50894632.0,180343534.0,-117302225.0,-50894632.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
17,(주)DB하이텍,990,2019/12,160796839.0,-123827487.0,-70941329.0,161078351.0,-123954602.0,-70941329.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
18,(주)ES큐브,50120,2011/12,1625293.0,-2631208.0,0.0,1107724.0,-2460979.0,100000.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0
19,(주)ES큐브,50120,2012/12,4618957.0,-4021693.0,249337.0,5224759.0,-4486091.0,302892.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
20,(주)ES큐브,50120,2013/12,4508559.0,-15525675.0,18283521.0,2590980.0,-14873142.0,18283521.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
21,(주)ES큐브,50120,2014/12,2934159.0,-6727853.0,0.0,2889415.0,7970827.0,109920.0,1.0,0.0,9.0,1.0,1.0,1.0,0.0
22,(주)ES큐브,50120,2015/12,3265832.0,5644794.0,0.0,-2778236.0,399044.0,2949998.0,1.0,1.0,9.0,0.0,1.0,1.0,0.0
23,(주)ES큐브,50120,2016/12,3735385.0,-27691503.0,37786301.0,1240854.0,-23005177.0,37786301.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
24,(주)ES큐브,50120,2017/12,3989913.0,-9285270.0,-1313460.0,2310978.0,-6850093.0,-1313460.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
