회사명,거래소코드,회계년도,매출액(수익)(요약)(IFRS)(백만원),매출원가(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),매출원가(요약)(IFRS연결)(백만원),통계청 한국표준산업분류 10차(소분류)
(주)CMG제약,058820,2001/12,,,,,  의약품 제조업
(주)CMG제약,058820,2002/12,,,,,  의약품 제조업
(주)CMG제약,058820,2003/12,,,,,  의약품 제조업
(주)CMG제약,058820,2004/12,,,,,  의약품 제조업
(주)CMG제약,058820,2005/12,,,,,  의약품 제조업
(주)CMG제약,058820,2006/12,,,,,  의약품 제조업
(주)CMG제약,058820,2007/12,1796,1482,,,  의약품 제조업
(주)CMG제약,058820,2008/12,10808,6852,,,  의약품 제조업
(주)CMG제약,058820,2009/12,10147,7678,,,  의약품 제조업
(주)CMG제약,058820,2010/12,11350,8218,11350,8218,  의약품 제조업
(주)CMG제약,058820,2011/12,17752,10326,17752,10326,  의약품 제조업
(주)CMG제약,058820,2012/12,16255,11649,16255,11649,  의약품 제조업
(주)CMG제약,058820,2013/12,20322,12507,20402,12507,  의약품 제조업
(주)CMG제약,058820,2014/12,22753,14318,22753,14318,  의약품 제조업
(주)CMG제약,058820,2015/12,27042,17238,27042,17238,  의약품 제조업
(주)CMG제약,058820,2016/12,32970,19663,32970,19663,  의약품 제조업
(주)CMG제약,058820,2017/12,41536,23498,41536,23498,  의약품 제조업
(주)CMG제약,058820,2018/12,49865,27125,49865,27125,  의약품 제조업
(주)CMG제약,058820,2019/12,58623,29700,58623,29700,  의약품 제조업
(주)CMG제약,058820,2020/12,64460,33249,,,  의약품 제조업
(주)DB하이텍,000990,2000/12,,,,,  반도체 제조업
(주)DB하이텍,000990,2001/12,,,,,  반도체 제조업
(주)DB하이텍,000990,2002/12,,,,,  반도체 제조업
(주)DB하이텍,000990,2003/12,,,,,  반도체 제조업
(주)DB하이텍,000990,2004/12,,,,,  반도체 제조업
(주)DB하이텍,000990,2005/12,,,,,  반도체 제조업
(주)DB하이텍,000990,2006/12,,,,,  반도체 제조업
(주)DB하이텍,000990,2007/12,1372190,1156010,1462818,1238988,  반도체 제조업
(주)DB하이텍,000990,2008/12,1347649,1143619,1880811,1511457,  반도체 제조업
(주)DB하이텍,000990,2009/12,1152893,1005610,1236479,1081310,  반도체 제조업
(주)DB하이텍,000990,2010/12,593442,727263,620043,753813,  반도체 제조업
(주)DB하이텍,000990,2011/12,534317,443140,552216,460441,  반도체 제조업
(주)DB하이텍,000990,2012/12,583902,486953,590786,494003,  반도체 제조업
(주)DB하이텍,000990,2013/12,493752,404501,493752,404501,  반도체 제조업
(주)DB하이텍,000990,2014/12,567718,430813,567718,430813,  반도체 제조업
(주)DB하이텍,000990,2015/12,666595,436916,666595,436916,  반도체 제조업
(주)DB하이텍,000990,2016/12,773140,483130,773140,483130,  반도체 제조업
(주)DB하이텍,000990,2017/12,679738,426171,679738,426171,  반도체 제조업
(주)DB하이텍,000990,2018/12,669279,453943,669279,453943,  반도체 제조업
(주)DB하이텍,000990,2019/12,807416,513293,807416,513293,  반도체 제조업
(주)DB하이텍,000990,2020/12,935920,577035,935920,577035,  반도체 제조업
(주)ES큐브,050120,2002/06,,,,,  생활용품 도매업
(주)ES큐브,050120,2003/06,,,,,  생활용품 도매업
(주)ES큐브,050120,2004/06,,,,,  생활용품 도매업
(주)ES큐브,050120,2005/12,,,,,  생활용품 도매업
(주)ES큐브,050120,2006/12,,,,,  생활용품 도매업
(주)ES큐브,050120,2007/12,11781,10360,,,  생활용품 도매업
(주)ES큐브,050120,2008/12,12987,11720,,,  생활용품 도매업
(주)ES큐브,050120,2009/12,28258,22306,,,  생활용품 도매업
(주)ES큐브,050120,2010/12,34640,27040,43887,32967,  생활용품 도매업
(주)ES큐브,050120,2011/12,41700,29105,53380,38477,  생활용품 도매업
(주)ES큐브,050120,2012/12,44178,31651,55971,40291,  생활용품 도매업
(주)ES큐브,050120,2013/12,45823,34023,58597,44089,  생활용품 도매업
(주)ES큐브,050120,2014/12,37188,30574,44460,34937,  생활용품 도매업
(주)ES큐브,050120,2015/12,36887,30736,42153,30433,  생활용품 도매업
(주)ES큐브,050120,2016/12,34818,28469,34289,24454,  생활용품 도매업
(주)ES큐브,050120,2017/12,37105,30497,35746,26058,  생활용품 도매업
(주)ES큐브,050120,2018/12,31309,25694,33764,26036,  생활용품 도매업
(주)ES큐브,050120,2019/12,28527,22708,43708,35511,  생활용품 도매업
(주)ES큐브,050120,2020/12,30293,24197,80672,56530,  생활용품 도매업
(주)HJ중공업,097230,2007/12,1444721,1252695,1218728,1099381,  토목 건설업
(주)HJ중공업,097230,2008/12,3848033,3182744,3403175,2868343,  토목 건설업
(주)HJ중공업,097230,2009/12,3227619,2635434,3679824,3145502,  토목 건설업
(주)HJ중공업,097230,2010/12,2734440,2436522,3167774,2841789,  토목 건설업
(주)HJ중공업,097230,2011/12,2316017,2156842,2891499,2664558,  토목 건설업
(주)HJ중공업,097230,2012/12,1980761,1833445,2549319,2358260,  토목 건설업
