회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS연결)(천원),계속영업이익(손실)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,640283,-1508282
(주)CMG제약,058820,2012/12,-4205503,-6660149
(주)CMG제약,058820,2013/12,791250,311190
(주)CMG제약,058820,2014/12,442322,158039
(주)CMG제약,058820,2015/12,-2572168,-3650091
(주)CMG제약,058820,2016/12,1730753,1693463
(주)CMG제약,058820,2017/12,1558607,2834901
(주)CMG제약,058820,2018/12,2567820,6065026
(주)CMG제약,058820,2019/12,2603774,3051177
(주)DB하이텍,000990,2011/12,-43150444,-97946584
(주)DB하이텍,000990,2012/12,-15621631,-47726384
(주)DB하이텍,000990,2013/12,-9610612,-83046768
(주)DB하이텍,000990,2014/12,45560248,-77008844
(주)DB하이텍,000990,2015/12,124968815,126733352
(주)DB하이텍,000990,2016/12,172427930,88344018
(주)DB하이텍,000990,2017/12,143195168,110175089
(주)DB하이텍,000990,2018/12,112993143,86828768
(주)DB하이텍,000990,2019/12,181292188,104637012
(주)ES큐브,050120,2011/12,-3650245,-4796438
(주)ES큐브,050120,2012/12,89337,-359216
(주)ES큐브,050120,2013/12,-1164611,-16455910
(주)ES큐브,050120,2014/12,171090,-615409
(주)ES큐브,050120,2015/12,-4060426,-2307159
(주)ES큐브,050120,2016/12,2161041,21541047
(주)ES큐브,050120,2017/12,2248520,1737925
(주)ES큐브,050120,2018/12,-1211129,-6121462
(주)ES큐브,050120,2019/12,-2617071,-13767748
(주)HJ중공업,097230,2011/12,107974000,-96920000
(주)HJ중공업,097230,2012/12,52914000,-53214000
(주)HJ중공업,097230,2013/12,-69574000,-190193000
(주)HJ중공업,097230,2014/12,-144988000,-299811000
(주)HJ중공업,097230,2015/12,-79370000,-260925000
(주)HJ중공업,097230,2016/12,-79319000,-334446000
(주)HJ중공업,097230,2017/12,-116693000,-277978000
(주)HJ중공업,097230,2018/12,61676000,19245000
(주)HJ중공업,097230,2019/12,83839000,-35341000
(주)MH에탄올,023150,2011/12,603258,-4357312
(주)MH에탄올,023150,2012/12,5451733,287369
(주)MH에탄올,023150,2013/12,3009741,7028234
(주)MH에탄올,023150,2014/12,8744851,4919051
(주)MH에탄올,023150,2015/12,11092013,7778593
(주)MH에탄올,023150,2016/12,11874476,8144684
(주)MH에탄올,023150,2017/12,8116711,4308068
(주)MH에탄올,023150,2018/12,1228204,-12033428
(주)MH에탄올,023150,2019/12,7829103,-7552043
(주)SH에너지화학,002360,2011/12,4165988,1800972
(주)SH에너지화학,002360,2012/12,2183184,210854
(주)SH에너지화학,002360,2013/12,6424227,4606872
(주)SH에너지화학,002360,2014/12,21271907,16733050
(주)SH에너지화학,002360,2015/12,22950175,12590617
(주)SH에너지화학,002360,2016/12,24101160,18028878
(주)SH에너지화학,002360,2017/12,14181936,9879057
(주)SH에너지화학,002360,2018/12,2100669,2033570
(주)SH에너지화학,002360,2019/12,-3131128,-3090151
(주)SIMPAC,009160,2011/12,27346333,24976613
(주)SIMPAC,009160,2012/12,25191277,19285856
(주)SIMPAC,009160,2013/12,23599349,20043596
(주)SIMPAC,009160,2014/12,17341900,14312319
(주)SIMPAC,009160,2015/12,21241031,16449973
(주)SIMPAC,009160,2016/12,23566192,16183843
(주)SIMPAC,009160,2017/12,11697915,12895699
(주)SIMPAC,009160,2018/12,10190572,69198558
(주)SIMPAC,009160,2019/12,11141319,9487516
(주)SNT에너지,100840,2011/12,,
(주)SNT에너지,100840,2012/12,,
(주)SNT에너지,100840,2013/12,,
(주)SNT에너지,100840,2014/12,,
(주)SNT에너지,100840,2015/12,,
(주)SNT에너지,100840,2016/12,,
(주)SNT에너지,100840,2017/12,,
(주)SNT에너지,100840,2018/12,,
(주)SNT에너지,100840,2019/12,17473548,15452273
(주)SNT홀딩스,036530,2011/12,120504644,87196578
(주)SNT홀딩스,036530,2012/12,85693573,63253909
(주)SNT홀딩스,036530,2013/12,84798090,53763061
(주)SNT홀딩스,036530,2014/12,65504975,59657237
(주)SNT홀딩스,036530,2015/12,161533664,116419931
(주)SNT홀딩스,036530,2016/12,72283066,10146568
(주)SNT홀딩스,036530,2017/12,60637139,25863066
(주)SNT홀딩스,036530,2018/12,72650119,73732317
(주)SNT홀딩스,036530,2019/12,126277061,124509305
(주)STX,011810,2011/12,234608000,105158000
(주)STX,011810,2012/12,-410811000,-490928000
(주)STX,011810,2013/12,-961776000,-1497031000
(주)STX,011810,2014/12,35691000,358183000
(주)STX,011810,2015/12,-34170000,-48982000
(주)STX,011810,2016/12,-34169000,-457446000
(주)STX,011810,2017/12,44053000,334386000
(주)STX,011810,2018/12,-14778000,9107000
(주)STX,011810,2019/12,1748000,-33218000
(주)TCC스틸,002710,2011/12,11421367,4557868
(주)TCC스틸,002710,2012/12,5933944,124581
(주)TCC스틸,002710,2013/12,-7745721,-19955830
(주)TCC스틸,002710,2014/12,344471,-15813610
(주)TCC스틸,002710,2015/12,15855157,-6600932
(주)TCC스틸,002710,2016/12,15351135,16509748
(주)TCC스틸,002710,2017/12,8106455,1503708
(주)TCC스틸,002710,2018/12,17080602,9755131
(주)TCC스틸,002710,2019/12,12856170,5037267
(주)가비아,079940,2011/12,8180883,7014899
(주)가비아,079940,2012/12,7619962,9419144
(주)가비아,079940,2013/12,7033504,9505713
(주)가비아,079940,2014/12,8382688,6752737
(주)가비아,079940,2015/12,11349094,8530281
(주)가비아,079940,2016/12,12549259,10177685
(주)가비아,079940,2017/12,12712157,9669613
(주)가비아,079940,2018/12,18188449,15340647
(주)가비아,079940,2019/12,23736596,21102390
(주)강스템바이오텍,217730,2015/12,,
(주)강스템바이오텍,217730,2016/12,,
(주)강스템바이오텍,217730,2017/12,-11737865,-11531949
(주)강스템바이오텍,217730,2018/12,-11693969,-14294032
(주)강스템바이오텍,217730,2019/12,-23153708,-26394472
(주)강원랜드,035250,2011/12,488541474,381175313
(주)강원랜드,035250,2012/12,404867665,306228988
(주)강원랜드,035250,2013/12,388041305,297596347
(주)강원랜드,035250,2014/12,513172053,359348568
(주)강원랜드,035250,2015/12,595400402,441629101
(주)강원랜드,035250,2016/12,618616288,454533659
(주)강원랜드,035250,2017/12,530897334,437540507
(주)강원랜드,035250,2018/12,430699991,297236881
(주)강원랜드,035250,2019/12,501153152,334653892
(주)강원에너지,114190,2011/11,,
(주)강원에너지,114190,2012/12,,
(주)강원에너지,114190,2013/12,,
(주)강원에너지,114190,2014/12,,
(주)강원에너지,114190,2015/12,447206,102482
(주)강원에너지,114190,2016/12,-1311190,-1125371
(주)강원에너지,114190,2017/12,-5588512,-6451819
(주)강원에너지,114190,2018/12,341329,1708887
(주)강원에너지,114190,2019/12,-17175963,-35647438
(주)갤럭시아에스엠,011420,2011/12,5164839,2909464
(주)갤럭시아에스엠,011420,2012/12,2074371,389023
(주)갤럭시아에스엠,011420,2013/12,747160,-1736750
(주)갤럭시아에스엠,011420,2014/12,-423280,-255270
(주)갤럭시아에스엠,011420,2015/12,2101041,1863773
