회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS)
(주)CMG제약,58820,11-Dec,-1264488,18290915
(주)CMG제약,58820,12-Dec,-6892739,31602540
(주)CMG제약,58820,13-Dec,335258,49048213
(주)CMG제약,58820,14-Dec,171502,49067039
(주)CMG제약,58820,15-Dec,-3648668,46872705
(주)CMG제약,58820,16-Dec,1693463,101107635
(주)CMG제약,58820,17-Dec,2834901,97944019
(주)CMG제약,58820,18-Dec,6065026,103981846
(주)CMG제약,58820,19-Dec,3051177,180158283
(주)DB하이텍,990,11-Dec,-93084414,291709498
(주)DB하이텍,990,12-Dec,-32121504,274553219
(주)DB하이텍,990,13-Dec,-73243309,197287466
(주)DB하이텍,990,14-Dec,-58319918,136104062
(주)DB하이텍,990,15-Dec,127469869,277662952
(주)DB하이텍,990,16-Dec,88002359,364450453
(주)DB하이텍,990,17-Dec,74401732,441546809
(주)DB하이텍,990,18-Dec,95087399,542557222
(주)DB하이텍,990,19-Dec,121159865,645305205
(주)ES큐브,50120,11-Dec,-2933429,39144414
(주)ES큐브,50120,12-Dec,516857,39881477
(주)ES큐브,50120,13-Dec,-14749080,43712820
(주)ES큐브,50120,14-Dec,-2412385,41226335
(주)ES큐브,50120,15-Dec,3610344,44872641
(주)ES큐브,50120,16-Dec,17469014,69832373
(주)ES큐브,50120,17-Dec,1218923,71398467
(주)ES큐브,50120,18-Dec,-3836071,66518631
(주)ES큐브,50120,19-Dec,-12738710,53986331
(주)HJ중공업,97230,11-Dec,-116272000,1874877000
(주)HJ중공업,97230,12-Dec,13082000,1863529000
(주)HJ중공업,97230,13-Dec,-212716000,1804609000
(주)HJ중공업,97230,14-Dec,-225739000,1761886000
(주)HJ중공업,97230,15-Dec,-260118000,1377529000
(주)HJ중공업,97230,16-Dec,-334429000,904150000
(주)HJ중공업,97230,17-Dec,-299028000,563410000
(주)HJ중공업,97230,18-Dec,-963474000,-398930000
(주)HJ중공업,97230,19-Dec,-73654000,247272000
(주)MH에탄올,23150,11-Dec,3351943,56161251
(주)MH에탄올,23150,12-Dec,2571700,58712944
(주)MH에탄올,23150,13-Dec,-11627211,47119925
(주)MH에탄올,23150,14-Dec,4618332,52507884
(주)MH에탄올,23150,15-Dec,7744832,57569789
(주)MH에탄올,23150,16-Dec,8134873,63257513
(주)MH에탄올,23150,17-Dec,5903108,64698932
(주)MH에탄올,23150,18-Dec,6553371,68471529
(주)MH에탄올,23150,19-Dec,-5004935,59477642
(주)SH에너지화학,2360,11-Dec,3164441,64498684
(주)SH에너지화학,2360,12-Dec,1079738,64888612
(주)SH에너지화학,2360,13-Dec,4841817,69781889
(주)SH에너지화학,2360,14-Dec,15569914,83404299
(주)SH에너지화학,2360,15-Dec,12639344,90740136
(주)SH에너지화학,2360,16-Dec,17574101,103083032
(주)SH에너지화학,2360,17-Dec,8905104,105717970
(주)SH에너지화학,2360,18-Dec,2766802,104065473
(주)SH에너지화학,2360,19-Dec,-3151629,97386214
(주)SIMPAC,9160,11-Dec,21196377,155833324
(주)SIMPAC,9160,12-Dec,22517068,177830482
(주)SIMPAC,9160,13-Dec,19196136,197900866
(주)SIMPAC,9160,14-Dec,10218575,203904919
(주)SIMPAC,9160,15-Dec,19448583,220087525
(주)SIMPAC,9160,16-Dec,16444650,228959172
(주)SIMPAC,9160,17-Dec,7133940,223781988
(주)SIMPAC,9160,18-Dec,62381304,411119510
(주)SIMPAC,9160,19-Dec,11507259,419215968
(주)SNT에너지,100840,11-Dec,-4155767,160595865
(주)SNT에너지,100840,12-Dec,9087721,183306309
(주)SNT에너지,100840,13-Dec,16189688,198164671
(주)SNT에너지,100840,14-Dec,11264253,207712504
(주)SNT에너지,100840,15-Dec,27029932,231399939
(주)SNT에너지,100840,16-Dec,1659742,229799567
(주)SNT에너지,100840,17-Dec,4581777,233817326
(주)SNT에너지,100840,18-Dec,1825479,231276490
(주)SNT에너지,100840,19-Dec,14578960,245545053
(주)SNT홀딩스,36530,11-Dec,5766277,387839074
(주)SNT홀딩스,36530,12-Dec,9011145,388611726
(주)SNT홀딩스,36530,13-Dec,8018313,396851717
(주)SNT홀딩스,36530,14-Dec,6891599,398863036
(주)SNT홀딩스,36530,15-Dec,27765789,421925486
(주)SNT홀딩스,36530,16-Dec,6923176,426682947
(주)SNT홀딩스,36530,17-Dec,4172419,425136143
(주)SNT홀딩스,36530,18-Dec,6218079,422573122
(주)SNT홀딩스,36530,19-Dec,9244252,416939604
(주)STX,11810,11-Dec,84657000,1164648000
(주)STX,11810,12-Dec,-23863000,1123534000
(주)STX,11810,13-Dec,-1646014000,-522090000
(주)STX,11810,14-Dec,334488000,54894000
(주)STX,11810,15-Dec,-53449000,72316000
(주)STX,11810,16-Dec,-456150000,-328883000
(주)STX,11810,17-Dec,336179000,44710000
(주)STX,11810,18-Dec,5024000,62213000
(주)STX,11810,19-Dec,-37142000,50616000
(주)TCC스틸,2710,11-Dec,6828699,205616971
(주)TCC스틸,2710,12-Dec,4206491,209755733
(주)TCC스틸,2710,13-Dec,391783,210086242
(주)TCC스틸,2710,14-Dec,1022624,210093654
(주)TCC스틸,2710,15-Dec,-140083396,76555951
(주)TCC스틸,2710,16-Dec,15468493,92623510
(주)TCC스틸,2710,17-Dec,-2328706,89627045
(주)TCC스틸,2710,18-Dec,7565000,98351707
