회사명,거래소코드,회계년도,[제조]자본(*)(IFRS2)
(주)CMG제약,58820,Dec-10,18405116
(주)CMG제약,58820,Dec-11,18290915
(주)CMG제약,58820,Dec-12,31602540
(주)CMG제약,58820,Dec-13,49048213
(주)CMG제약,58820,Dec-14,49067039
(주)CMG제약,58820,Dec-15,46872705
(주)CMG제약,58820,Dec-16,101107635
(주)CMG제약,58820,Dec-17,97944019
(주)CMG제약,58820,Dec-18,103981846
(주)DB하이텍,990,Dec-10,376915607
(주)DB하이텍,990,Dec-11,291709498
(주)DB하이텍,990,Dec-12,274553219
(주)DB하이텍,990,Dec-13,197287466
(주)DB하이텍,990,Dec-14,136104062
(주)DB하이텍,990,Dec-15,277662952
(주)DB하이텍,990,Dec-16,364450453
(주)DB하이텍,990,Dec-17,441546809
(주)DB하이텍,990,Dec-18,542557222
(주)ES큐브,50120,Dec-10,42087960
(주)ES큐브,50120,Dec-11,39144414
(주)ES큐브,50120,Dec-12,39881477
(주)ES큐브,50120,Dec-13,43712820
(주)ES큐브,50120,Dec-14,41226335
(주)ES큐브,50120,Dec-15,44872641
(주)ES큐브,50120,Dec-16,69832373
(주)ES큐브,50120,Dec-17,71398467
(주)ES큐브,50120,Dec-18,66518631
(주)HJ중공업,97230,Dec-10,2001312000
(주)HJ중공업,97230,Dec-11,1874877000
(주)HJ중공업,97230,Dec-12,1863529000
(주)HJ중공업,97230,Dec-13,1804609000
(주)HJ중공업,97230,Dec-14,1761886000
(주)HJ중공업,97230,Dec-15,1377529000
(주)HJ중공업,97230,Dec-16,904150000
(주)HJ중공업,97230,Dec-17,563410000
(주)HJ중공업,97230,Dec-18,-398930000
(주)MH에탄올,23150,Dec-10,52983762
(주)MH에탄올,23150,Dec-11,56161251
(주)MH에탄올,23150,Dec-12,58712944
(주)MH에탄올,23150,Dec-13,47119925
(주)MH에탄올,23150,Dec-14,52507884
(주)MH에탄올,23150,Dec-15,57569789
(주)MH에탄올,23150,Dec-16,63257513
(주)MH에탄올,23150,Dec-17,64698932
(주)MH에탄올,23150,Dec-18,68471529
(주)SH에너지화학,2360,Dec-10,61538912
(주)SH에너지화학,2360,Dec-11,64498684
(주)SH에너지화학,2360,Dec-12,64888612
(주)SH에너지화학,2360,Dec-13,69781889
(주)SH에너지화학,2360,Dec-14,83404299
(주)SH에너지화학,2360,Dec-15,90740136
(주)SH에너지화학,2360,Dec-16,103083032
(주)SH에너지화학,2360,Dec-17,105717970
(주)SH에너지화학,2360,Dec-18,104065473
(주)SIMPAC,9160,Dec-10,136119246
(주)SIMPAC,9160,Dec-11,155833324
(주)SIMPAC,9160,Dec-12,177830482
(주)SIMPAC,9160,Dec-13,197900866
(주)SIMPAC,9160,Dec-14,203904919
(주)SIMPAC,9160,Dec-15,220087525
(주)SIMPAC,9160,Dec-16,228959172
(주)SIMPAC,9160,Dec-17,223781988
(주)SIMPAC,9160,Dec-18,411119510
(주)SNT에너지,100840,Dec-10,167390792
(주)SNT에너지,100840,Dec-11,160595865
(주)SNT에너지,100840,Dec-12,183306309
(주)SNT에너지,100840,Dec-13,198164671
(주)SNT에너지,100840,Dec-14,207712504
(주)SNT에너지,100840,Dec-15,231399939
(주)SNT에너지,100840,Dec-16,229799567
(주)SNT에너지,100840,Dec-17,233817326
(주)SNT에너지,100840,Dec-18,231276490
(주)SNT홀딩스,36530,Dec-10,396588552
(주)SNT홀딩스,36530,Dec-11,387839074
(주)SNT홀딩스,36530,Dec-12,388611726
(주)SNT홀딩스,36530,Dec-13,396851717
(주)SNT홀딩스,36530,Dec-14,398863036
(주)SNT홀딩스,36530,Dec-15,421925486
(주)SNT홀딩스,36530,Dec-16,426682947
(주)SNT홀딩스,36530,Dec-17,425136143
(주)SNT홀딩스,36530,Dec-18,422573122
(주)STX,11810,Dec-10,934675000
(주)STX,11810,Dec-11,1164648000
(주)STX,11810,Dec-12,1123534000
(주)STX,11810,Dec-13,-522090000
(주)STX,11810,Dec-14,54894000
(주)STX,11810,Dec-15,72316000
(주)STX,11810,Dec-16,-328883000
(주)STX,11810,Dec-17,44710000
(주)STX,11810,Dec-18,62213000
(주)TCC스틸,2710,Dec-10,203173489
(주)TCC스틸,2710,Dec-11,205616971
(주)TCC스틸,2710,Dec-12,209755733
(주)TCC스틸,2710,Dec-13,210086242
(주)TCC스틸,2710,Dec-14,210093654
(주)TCC스틸,2710,Dec-15,76555951
(주)TCC스틸,2710,Dec-16,92623510
(주)TCC스틸,2710,Dec-17,89627045
(주)TCC스틸,2710,Dec-18,98351707
(주)가비아,79940,Dec-10,21535028
(주)가비아,79940,Dec-11,24298687
(주)가비아,79940,Dec-12,31165211
(주)가비아,79940,Dec-13,34822978
(주)가비아,79940,Dec-14,38147677
(주)가비아,79940,Dec-15,42470259
(주)가비아,79940,Dec-16,45413712
(주)가비아,79940,Dec-17,47662984
(주)가비아,79940,Dec-18,49832912
(주)강스템바이오텍,217730,Dec-15,21237036
(주)강스템바이오텍,217730,Dec-16,22976911
(주)강스템바이오텍,217730,Dec-17,24668128
(주)강스템바이오텍,217730,Dec-18,47944961
(주)강원랜드,35250,Dec-10,2107623213
(주)강원랜드,35250,Dec-11,2278202202
(주)강원랜드,35250,Dec-12,2383160603
(주)강원랜드,35250,Dec-13,2523962938
(주)강원랜드,35250,Dec-14,2716175018
(주)강원랜드,35250,Dec-15,2997442337
(주)강원랜드,35250,Dec-16,3252738063
(주)강원랜드,35250,Dec-17,3500789656
(주)강원랜드,35250,Dec-18,3586452533
(주)강원에너지,114190,Nov-10,19268894
(주)강원에너지,114190,Nov-11,24502434
(주)강원에너지,114190,Dec-12,36107930
(주)강원에너지,114190,Dec-13,45877155
(주)강원에너지,114190,Dec-14,50445491
(주)강원에너지,114190,Dec-15,54880924
(주)강원에너지,114190,Dec-16,53746356
(주)강원에너지,114190,Dec-17,47117020
(주)강원에너지,114190,Dec-18,49286354
(주)갤럭시아에스엠,11420,Dec-10,22598240
(주)갤럭시아에스엠,11420,Dec-11,24539613
(주)갤럭시아에스엠,11420,Dec-12,25153401
(주)갤럭시아에스엠,11420,Dec-13,22472626
(주)갤럭시아에스엠,11420,Dec-14,23402468
(주)갤럭시아에스엠,11420,Dec-15,50665218
