회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS연결)
(주)CMG제약,58820,11-Dec,-1508282,18034249
(주)CMG제약,58820,12-Dec,-6660149,31590685
(주)CMG제약,58820,13-Dec,296181,48997281
(주)CMG제약,58820,14-Dec,158039,49002644
(주)CMG제약,58820,15-Dec,-3650091,46806888
(주)CMG제약,58820,16-Dec,1727895,101107635
(주)CMG제약,58820,17-Dec,2834901,97944019
(주)CMG제약,58820,18-Dec,6065026,103981846
(주)CMG제약,58820,19-Dec,3051177,180158283
(주)DB하이텍,990,11-Dec,-97946584,308061688
(주)DB하이텍,990,12-Dec,-31341318,290893335
(주)DB하이텍,990,13-Dec,-83046768,204756748
(주)DB하이텍,990,14-Dec,-77008844,120702734
(주)DB하이텍,990,15-Dec,126733352,254057491
(주)DB하이텍,990,16-Dec,88344018,341917315
(주)DB하이텍,990,17-Dec,110175089,455797946
(주)DB하이텍,990,18-Dec,86828768,558391531
(주)DB하이텍,990,19-Dec,104637012,644650730
(주)ES큐브,50120,11-Dec,-4796438,39245830
(주)ES큐브,50120,12-Dec,-359216,39859681
(주)ES큐브,50120,13-Dec,-16455910,42372440
(주)ES큐브,50120,14-Dec,-615409,49628091
(주)ES큐브,50120,15-Dec,-2307159,49654460
(주)ES큐브,50120,16-Dec,21541047,71696122
(주)ES큐브,50120,17-Dec,1737925,72816880
(주)ES큐브,50120,18-Dec,-6121462,70748607
(주)ES큐브,50120,19-Dec,-13767748,74038512
(주)HJ중공업,97230,11-Dec,-96920000,1866848000
(주)HJ중공업,97230,12-Dec,-53214000,1715516000
(주)HJ중공업,97230,13-Dec,-190193000,1638998000
(주)HJ중공업,97230,14-Dec,-299811000,1573076000
(주)HJ중공업,97230,15-Dec,-260925000,1368589000
(주)HJ중공업,97230,16-Dec,-334446000,895183000
(주)HJ중공업,97230,17-Dec,-277978000,577198000
(주)HJ중공업,97230,18-Dec,-1283647000,-708186000
(주)HJ중공업,97230,19-Dec,306169000,244994000
(주)MH에탄올,23150,11-Dec,-4357312,42667338
(주)MH에탄올,23150,12-Dec,287369,39678259
(주)MH에탄올,23150,13-Dec,7028234,45885523
(주)MH에탄올,23150,14-Dec,-203193,52788681
