회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결)
(주)CMG제약,058820,2010/12,18405116
(주)CMG제약,058820,2011/12,18034249
(주)CMG제약,058820,2012/12,31590685
(주)CMG제약,058820,2013/12,48997281
(주)CMG제약,058820,2014/12,49002644
(주)CMG제약,058820,2015/12,46806888
(주)CMG제약,058820,2016/12,101107635
(주)CMG제약,058820,2017/12,97944019
(주)CMG제약,058820,2018/12,103981846
(주)DB하이텍,000990,2010/12,398016157
(주)DB하이텍,000990,2011/12,308061688
(주)DB하이텍,000990,2012/12,290893335
(주)DB하이텍,000990,2013/12,204756748
(주)DB하이텍,000990,2014/12,120702734
(주)DB하이텍,000990,2015/12,254057491
(주)DB하이텍,000990,2016/12,341917315
(주)DB하이텍,000990,2017/12,455797946
(주)DB하이텍,000990,2018/12,558391531
(주)ES큐브,050120,2010/12,42621100
(주)ES큐브,050120,2011/12,39245830
(주)ES큐브,050120,2012/12,39859681
(주)ES큐브,050120,2013/12,42372440
(주)ES큐브,050120,2014/12,49628091
(주)ES큐브,050120,2015/12,49654460
(주)ES큐브,050120,2016/12,71696122
(주)ES큐브,050120,2017/12,72816880
(주)ES큐브,050120,2018/12,70748607
(주)HJ중공업,097230,2010/12,1955791000
(주)HJ중공업,097230,2011/12,1866848000
(주)HJ중공업,097230,2012/12,1715516000
(주)HJ중공업,097230,2013/12,1638998000
(주)HJ중공업,097230,2014/12,1573076000
(주)HJ중공업,097230,2015/12,1368589000
(주)HJ중공업,097230,2016/12,895183000
(주)HJ중공업,097230,2017/12,577198000
(주)HJ중공업,097230,2018/12,-708186000
(주)MH에탄올,023150,2010/12,46625147
(주)MH에탄올,023150,2011/12,42667338
(주)MH에탄올,023150,2012/12,39678259
(주)MH에탄올,023150,2013/12,45885523
(주)MH에탄올,023150,2014/12,52788681
(주)MH에탄올,023150,2015/12,57884347
(주)MH에탄올,023150,2016/12,63581883
(주)MH에탄올,023150,2017/12,106837344
(주)MH에탄올,023150,2018/12,91585473
(주)SH에너지화학,002360,2010/12,61526743
(주)SH에너지화학,002360,2011/12,65242326
(주)SH에너지화학,002360,2012/12,64881202
(주)SH에너지화학,002360,2013/12,69599141
(주)SH에너지화학,002360,2014/12,84237197
(주)SH에너지화학,002360,2015/12,91646221
(주)SH에너지화학,002360,2016/12,104088887
(주)SH에너지화학,002360,2017/12,107693472
(주)SH에너지화학,002360,2018/12,105390892
(주)SIMPAC,009160,2010/12,145325032
(주)SIMPAC,009160,2011/12,168941269
(주)SIMPAC,009160,2012/12,187860952
(주)SIMPAC,009160,2013/12,208831047
(주)SIMPAC,009160,2014/12,219125252
(주)SIMPAC,009160,2015/12,232007841
(주)SIMPAC,009160,2016/12,240416530
(주)SIMPAC,009160,2017/12,240826100
(주)SIMPAC,009160,2018/12,435032869
(주)SNT에너지,100840,2010/12,
(주)SNT에너지,100840,2011/12,
(주)SNT에너지,100840,2012/12,
(주)SNT에너지,100840,2013/12,
(주)SNT에너지,100840,2014/12,
(주)SNT에너지,100840,2015/12,
(주)SNT에너지,100840,2016/12,
(주)SNT에너지,100840,2017/12,
(주)SNT에너지,100840,2018/12,
(주)SNT홀딩스,036530,2010/12,1277919679
(주)SNT홀딩스,036530,2011/12,1311007481
(주)SNT홀딩스,036530,2012/12,1318022867
(주)SNT홀딩스,036530,2013/12,1374365240
(주)SNT홀딩스,036530,2014/12,1356040938
(주)SNT홀딩스,036530,2015/12,1529249091
(주)SNT홀딩스,036530,2016/12,1530892611
(주)SNT홀딩스,036530,2017/12,1519293154
(주)SNT홀딩스,036530,2018/12,1503275496
(주)STX,011810,2010/12,1622889000
(주)STX,011810,2011/12,1915942000
(주)STX,011810,2012/12,1506639000
(주)STX,011810,2013/12,-509663000
(주)STX,011810,2014/12,93662000
(주)STX,011810,2015/12,72342000
(주)STX,011810,2016/12,-330596000
(주)STX,011810,2017/12,42560000
(주)STX,011810,2018/12,64028000
(주)TCC스틸,002710,2010/12,225226613
(주)TCC스틸,002710,2011/12,225441968
(주)TCC스틸,002710,2012/12,225998781
(주)TCC스틸,002710,2013/12,205738102
(주)TCC스틸,002710,2014/12,189038004
(주)TCC스틸,002710,2015/12,86012476
(주)TCC스틸,002710,2016/12,103337634
(주)TCC스틸,002710,2017/12,100915803
(주)TCC스틸,002710,2018/12,112246210
(주)가비아,079940,2010/12,37225655
(주)가비아,079940,2011/12,48665742
(주)가비아,079940,2012/12,58945247
(주)가비아,079940,2013/12,68600227
(주)가비아,079940,2014/12,75509702
(주)가비아,079940,2015/12,84096148
(주)가비아,079940,2016/12,95951841
(주)가비아,079940,2017/12,99896520
(주)가비아,079940,2018/12,114187490
(주)강스템바이오텍,217730,2015/12,
(주)강스템바이오텍,217730,2016/12,
(주)강스템바이오텍,217730,2017/12,24482163
