회사명,거래소코드,회계년도,총자본증가율(IFRS연결),유형자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),순이익증가율(IFRS연결),정상영업이익증가율(IFRS연결),매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),금융비용부담률(IFRS연결),이자부담률(IFRS연결),지급이자율(IFRS연결),차입금평균이자율(IFRS연결),유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본배율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),재고자산 대 순운전자본비율(IFRS연결),매출채권 대 매입채무비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),순운전자본비율(IFRS연결),차입금비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매출채권회전기간(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결),운전자본회전률(IFRS연결),노동장비율(IFRS연결),기계장비율(IFRS연결),자본집약도(IFRS연결),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결)
(주)CMG제약,58820,Dec-11,1.98,-5.9,17.64,-1.43,-2.02,56.4,0,0,41.83,-8.5,-5.58,-8.28,58.17,0.8,1.61,7.32,8.02,56.18,17.88,46.14,66.05,33.95,82.55,200.97,165.03,15.1,35.59,602.31,51.41,42.33,80.71,28.23,13.74,-46.08,-172.4,-24.07,0.66,0.97,2.01,11.95,30.53,1.25,1.55,6.42,2.45,148.8,1.77,0.86,0,,,,12.72,35.86,128.51,19.56
(주)CMG제약,58820,Dec-12,109.15,-4.12,207.08,7.73,75.17,-8.43,0,0,28.34,-40.97,-15.78,-26.84,71.66,2.53,2.37,3.11,5.45,82.49,6.27,77.32,55.32,44.68,95.69,693.49,649.98,68.81,7.33,323.41,80.77,21.5,0.57,70.6,55.28,-8.1,-11.83,-12.71,0.39,0.66,0.93,7.83,46.62,0.52,0.57,5.71,1.85,197.16,1.71,0.42,0,,,,0.47,2.89,10.67,1.66
(주)CMG제약,58820,Dec-13,-2.09,16.09,-18.89,56.29,55.1,25.51,0,0,38.7,1.45,0.52,0.74,61.3,1.65,2.08,80.14,12.02,68.34,12.09,60.08,87.63,12.37,113.12,694.71,610.74,394.63,14.12,282.72,14.11,11.23,0,58.5,2.89,-39.85,-194.73,-13.51,0.36,0.51,1.26,6.2,58.88,0.48,0.52,5.39,2.07,176.2,2.03,0.42,0.79,,,,12.51,77.91,289.4,34.29
(주)CMG제약,58820,Dec-14,3.86,74.3,-25.93,6.37,0.01,11.52,-46.64,-44.1,37.07,0.69,0.28,0.32,62.93,-0.65,-1.84,7.96,8.3,48.74,17.36,40.28,84.39,15.61,113.13,324.58,268.23,101.24,25.09,285.31,18.5,17.79,0,33.72,3.15,-17.73,-104.12,-7.06,0.4,0.46,2.85,5.27,69.23,0.68,0.8,4.77,1.86,196.72,1.54,0.56,0.74,,,,12.16,37.8,132.06,31.04
(주)CMG제약,58820,Dec-15,-2.64,-5.37,-7.17,11.04,-4.48,18.85,0,0,36.26,-13.5,-6.37,-7.62,63.74,-0.11,-0.32,1272.6,10.3,46.47,20.77,36.82,82.8,17.2,106.02,296.85,235.21,29,31.32,254.69,20.78,18.91,0,30.82,0.01,16.12,24988.82,5.8,0.47,0.56,2.88,5.66,64.54,0.99,1.22,5.22,2.1,174.14,1.48,0.75,0.6,,,,7.63,24.21,90.92,15.96
(주)CMG제약,58820,Dec-16,96.31,-5.14,199.84,17.2,116.01,21.92,0,0,40.36,5.24,2.06,2.34,59.64,-0.47,-1.57,0,0,70.98,8.12,65.22,91.1,8.9,186.02,862.15,792.17,23.52,9.18,219.41,9.76,9.04,0,62.75,0,29.03,0,8.69,0.39,0.45,3.36,6.26,58.3,0.63,0.71,5.56,2.66,137.38,1.9,0.54,0.51,,,,9.48,62.31,273.6,31.9
(주)CMG제약,58820,Dec-17,-1.27,-4.28,3.12,23.63,-3.13,25.98,64.07,-9.95,43.43,6.83,2.57,2.85,56.57,-2.72,-10.51,0,0,74.13,9.73,66.92,89.39,10.61,179.9,746.28,673.66,34.9,11.24,215.55,11.87,11.11,0,64.2,0,22.67,0,6.34,0.38,0.42,3.86,6.55,55.76,0.52,0.57,5.81,3.01,121.16,2.51,0.46,0.44,,,,12.51,84.87,389.08,33.01
(주)CMG제약,58820,Dec-18,4.39,6.71,0.18,8.45,6.16,20.05,113.94,64.75,45.6,12.16,5.42,6.01,54.4,-1.01,-4.56,0,0,71.14,10.54,63.65,90.91,9.09,190.99,957.86,856.94,158.5,11.76,414.65,10,8.17,0,63.71,0,13.63,0,2.84,0.45,0.49,4.53,8.93,40.86,0.61,0.68,6.05,3.08,118.41,2.98,0.55,4.93,,,,14.73,106.25,478.91,33.79
(주)CMG제약,58820,Dec-19,68.07,39.67,85.06,5.56,73.26,17.56,-49.69,1.4,49.34,5.2,1.99,2.15,50.66,-1.86,-9.71,3,6,78.33,6.01,73.62,93.71,6.29,259.42,1618.07,1520.84,199.55,6.41,468.79,6.71,5.17,45.27,73.49,0.16,15.35,647.74,3.16,0.38,0.41,5.21,13.81,26.43,0.51,0.55,6.65,3.12,116.9,2.83,0.47,0,,,,9.9,114.6,438.05,32.47
(주)DB하이텍,990,Dec-11,-13.19,-7.89,-10.08,-3.28,-22.6,-10.94,0,0,16.62,-17.74,-7.59,-27.74,83.38,9.4,5.54,8.13,7.71,23.33,27.57,16.9,25.69,74.31,143.54,35.2,25.5,5.04,0,336.28,289.22,257.97,0,-42.95,229.64,5.87,7.39,9.47,0.43,1.56,0.59,20.51,17.79,1.87,2.54,7.04,6.12,59.6,0.7,0.72,0,,,,18.17,29.75,78.9,39.45
