회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결),이보배,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,Dec-00,,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,01-Dec,1.03,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,02-Dec,-9.99,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,03-Dec,-3.37,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,04-Dec,-22.92,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,05-Dec,-13.4,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,06-Dec,-14.08,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,07-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,08-Dec,-5.05,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,09-Dec,-8.29,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,10-Dec,-7.33,-7.42,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,11-Dec,3.85,3.53,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,12-Dec,-7.45,-7.75,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,13-Dec,0.73,0.7,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,14-Dec,3.63,3.6,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,15-Dec,-32.2,-32.22,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,16-Dec,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,17-Dec,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,18-Dec,999999999,999999999,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,19-Dec,303,303,,,,,,,,,,,,,,,,,,,,,
(주)DB하이텍,990,Dec-00,1.01,,,,,,,,,,,,,,,,,,,,,,
(주)DB하이텍,990,01-Dec,1.37,,,,,,,,,,,,,,,,,,,,,,
(주)DB하이텍,990,02-Dec,1.5,,,,,,,,,,,,,,,,,,,,,,
(주)DB하이텍,990,03-Dec,1.27,,,,,,,,,,,,,,,,,,,,,,
(주)DB하이텍,990,04-Dec,2.94,,,,,,,,,,,,,,,,,,,,,,
(주)DB하이텍,990,05-Dec,1.01,,,,,,,,,,,,,,,,,,,,,,
(주)DB하이텍,990,06-Dec,0.56,,,,,,,,,,,,,,,,,,,,,,
