회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결)
(주)CMG제약,058820,2000/12,,
(주)CMG제약,058820,2001/12,1.03,
(주)CMG제약,058820,2002/12,-9.99,
(주)CMG제약,058820,2003/12,-3.37,
(주)CMG제약,058820,2004/12,-22.92,
(주)CMG제약,058820,2005/12,-13.4,
(주)CMG제약,058820,2006/12,-14.08,
(주)CMG제약,058820,2007/12,999999999,
(주)CMG제약,058820,2008/12,-5.05,
(주)CMG제약,058820,2009/12,-8.29,
(주)CMG제약,058820,2010/12,-7.33,-7.42
(주)CMG제약,058820,2011/12,3.85,3.53
(주)CMG제약,058820,2012/12,-7.45,-7.75
(주)CMG제약,058820,2013/12,0.73,0.7
(주)CMG제약,058820,2014/12,3.63,3.6
(주)CMG제약,058820,2015/12,-32.2,-32.22
(주)CMG제약,058820,2016/12,999999999,999999999
(주)CMG제약,058820,2017/12,999999999,999999999
(주)CMG제약,058820,2018/12,999999999,999999999
(주)CMG제약,058820,2019/12,303,303
(주)DB하이텍,000990,2000/12,1.01,
(주)DB하이텍,000990,2001/12,1.37,
(주)DB하이텍,000990,2002/12,1.5,
(주)DB하이텍,000990,2003/12,1.27,
(주)DB하이텍,000990,2004/12,2.94,
(주)DB하이텍,000990,2005/12,1.01,
(주)DB하이텍,000990,2006/12,0.56,
(주)DB하이텍,000990,2007/12,-0.12,-0.27
(주)DB하이텍,000990,2008/12,-0.5,0.18
(주)DB하이텍,000990,2009/12,-0.76,-0.77
(주)DB하이텍,000990,2010/12,-2.8,-3.82
(주)DB하이텍,000990,2011/12,-0.62,-0.75
(주)DB하이텍,000990,2012/12,-0.29,-0.31
(주)DB하이텍,000990,2013/12,-0.16,-0.16
(주)DB하이텍,000990,2014/12,0.67,0.67
(주)DB하이텍,000990,2015/12,2.49,2.5
(주)DB하이텍,000990,2016/12,4.39,4.41
(주)DB하이텍,000990,2017/12,6.01,6.05
(주)DB하이텍,000990,2018/12,6.76,6.77
(주)DB하이텍,000990,2019/12,13.43,13.44
(주)ES큐브,050120,2001/06,,
(주)ES큐브,050120,2002/06,4,
(주)ES큐브,050120,2003/06,2.24,
(주)ES큐브,050120,2004/06,1.66,
(주)ES큐브,050120,2005/12,-4.77,
(주)ES큐브,050120,2006/12,-6,
(주)ES큐브,050120,2007/12,-25.03,
(주)ES큐브,050120,2008/12,-35.62,
(주)ES큐브,050120,2009/12,10.3,
(주)ES큐브,050120,2010/12,9.56,-7.12
(주)ES큐브,050120,2011/12,-142.77,-245.99
(주)ES큐브,050120,2012/12,20.03,1.72
(주)ES큐브,050120,2013/12,9.51,-37.44
(주)ES큐브,050120,2014/12,999999999,22.2
(주)ES큐브,050120,2015/12,999999999,-11.86
(주)ES큐브,050120,2016/12,11.58,8.98
(주)ES큐브,050120,2017/12,2.76,2.86
(주)ES큐브,050120,2018/12,0.47,-0.82
(주)ES큐브,050120,2019/12,0.17,-0.68
(주)HJ중공업,097230,2007/12,,
(주)HJ중공업,097230,2008/12,4.88,3.39
(주)HJ중공업,097230,2009/12,2.57,2.07
(주)HJ중공업,097230,2010/12,1.05,0.54
(주)HJ중공업,097230,2011/12,0.22,0.55
(주)HJ중공업,097230,2012/12,0.17,0.27
(주)HJ중공업,097230,2013/12,-0.72,-0.4
(주)HJ중공업,097230,2014/12,-0.78,-0.88
(주)HJ중공업,097230,2015/12,-0.75,-0.5
(주)HJ중공업,097230,2016/12,0.4,-0.58
(주)HJ중공업,097230,2017/12,0.89,-1.08
(주)HJ중공업,097230,2018/12,-0.66,0.62
(주)HJ중공업,097230,2019/12,0.64,0.69
(주)MH에탄올,023150,2000/12,2.71,
(주)MH에탄올,023150,2001/12,2.6,
(주)MH에탄올,023150,2002/12,5.5,
(주)MH에탄올,023150,2003/12,18.2,
(주)MH에탄올,023150,2004/12,15.14,
(주)MH에탄올,023150,2005/12,11.04,
(주)MH에탄올,023150,2006/12,8.29,
(주)MH에탄올,023150,2007/12,7.52,
(주)MH에탄올,023150,2008/12,3.3,-0.61
(주)MH에탄올,023150,2009/12,2.14,1.18
(주)MH에탄올,023150,2010/12,1.84,0.77
(주)MH에탄올,023150,2011/12,1.5,0.12
(주)MH에탄올,023150,2012/12,1.64,1.08
(주)MH에탄올,023150,2013/12,3.44,0.87
(주)MH에탄올,023150,2014/12,5.62,5.62
(주)MH에탄올,023150,2015/12,12.7,12.69
(주)MH에탄올,023150,2016/12,29.42,29.41
(주)MH에탄올,023150,2017/12,33.29,3.46
(주)MH에탄올,023150,2018/12,8.73,0.1
(주)MH에탄올,023150,2019/12,7.59,0.73
(주)SH에너지화학,002360,2000/06,0.76,
(주)SH에너지화학,002360,2001/06,1.17,
(주)SH에너지화학,002360,2002/06,2.09,
(주)SH에너지화학,002360,2003/06,2.71,
