회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
(주)CMG제약,058820,2011/12,17751704,10325799,17751704,10325799,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2012/12,16255389,11648690,16255389,11648690,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2013/12,20322140,12506817,20402140,12506817,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2014/12,22752584,14318048,22752584,14318048,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2015/12,27041894,17237814,27041894,17237814,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2016/12,32969825,19663389,32969825,19663389,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2017/12,41535588,23497552,41535588,23497552,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2018/12,49864782,27124841,49864782,27124841,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2019/12,58622681,29700050,58622681,29700050,의료용 물질 및 의약품 제조업
(주)DB하이텍,000990,2011/12,534317238,443140034,552216245,460440945,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2012/12,583901597,486953432,590786488,494003057,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2013/12,493752028,404500718,493752028,404500718,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2014/12,567718224,430813375,567718224,430813375,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2015/12,666594987,436915515,666594987,436915515,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2016/12,773140180,483129939,773140180,483129939,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2017/12,679737744,426170592,679737744,426170592,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2018/12,669279136,453942755,669279136,453942755,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2019/12,807416423,513292637,807416423,513292637,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)ES큐브,050120,2011/12,41700477,29104839,53379952,38476771,도매 및 상품 중개업
(주)ES큐브,050120,2012/12,44178050,31651298,55971147,40290541,도매 및 상품 중개업
(주)ES큐브,050120,2013/12,45823196,34023346,58597361,44088670,도매 및 상품 중개업
(주)ES큐브,050120,2014/12,37188072,30573957,44459581,34936541,도매 및 상품 중개업
(주)ES큐브,050120,2015/12,36887119,30735643,42152967,30433006,도매 및 상품 중개업
(주)ES큐브,050120,2016/12,34818205,28468888,34289385,24454448,도매 및 상품 중개업
(주)ES큐브,050120,2017/12,37104908,30497256,35745794,26057940,도매 및 상품 중개업
(주)ES큐브,050120,2018/12,31308873,25693835,33763508,26036057,도매 및 상품 중개업
(주)ES큐브,050120,2019/12,28527284,22708418,43708239,35510791,도매 및 상품 중개업
(주)HJ중공업,097230,2011/12,2316017000,2156842000,2891499000,2664558000,종합 건설업
(주)HJ중공업,097230,2012/12,1980761000,1833445000,2549319000,2358260000,종합 건설업
(주)HJ중공업,097230,2013/12,1927307000,1900927000,2529341000,2464368000,종합 건설업
(주)HJ중공업,097230,2014/12,1799016000,1798250000,2520325000,2537259000,종합 건설업
(주)HJ중공업,097230,2015/12,2041347000,1972358000,3115473000,3004437000,종합 건설업
(주)HJ중공업,097230,2016/12,1928591000,1776465000,2813271000,2753545000,종합 건설업
