구분,코드,산업명,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
(주)CMG제약,058820,  의료용 물질 및 의약품 제조업,58.17 ,71.66 ,61.54 ,62.93 ,63.74 ,59.64 ,56.57 ,54.40 ,50.66 
(주)DB하이텍,000990,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",82.94 ,83.40 ,81.92 ,75.89 ,65.54 ,62.49 ,62.70 ,67.83 ,63.57 
(주)ES큐브,050120,  도매 및 상품 중개업,69.79 ,71.64 ,74.25 ,82.21 ,83.32 ,81.76 ,82.19 ,82.07 ,79.60 
(주)HJ중공업,097230,  기타 운송장비 제조업,93.13 ,0.00 ,98.63 ,99.96 ,96.62 ,92.11 ,88.93 ,88.59 ,89.41 
(주)MH에탄올,023150,  음료 제조업,75.72 ,77.99 ,71.81 ,75.76 ,72.29 ,69.46 ,71.63 ,73.13 ,75.36 
(주)SH에너지화학,002360,  화학물질 및 화학제품 제조업; 의약품 제외,92.95 ,93.02 ,92.87 ,86.72 ,83.73 ,83.84 ,87.57 ,93.53 ,95.44 
(주)SIMPAC,009160,  기타 기계 및 장비 제조업,79.35 ,81.35 ,80.12 ,82.79 ,80.38 ,81.53 ,82.94 ,90.59 ,91.11 
(주)SNT에너지,100840,  기타 기계 및 장비 제조업,92.78 ,83.15 ,80.60 ,83.88 ,77.78 ,80.67 ,79.34 ,85.12 ,83.96 
(주)SNT홀딩스,036530,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)STX,011810,  도매 및 상품 중개업,95.58 ,97.11 ,95.73 ,95.51 ,99.27 ,101.95 ,96.64 ,99.24 ,99.00 
(주)TCC스틸,002710,  1차 금속 제조업,91.71 ,90.64 ,91.86 ,90.95 ,89.04 ,88.75 ,91.22 ,91.32 ,92.04 
(주)가비아,079940,  출판업,61.44 ,61.05 ,60.63 ,61.21 ,59.46 ,58.27 ,58.36 ,57.35 ,59.28 
(주)강스템바이오텍,217730,  연구개발업,0.00 ,0.00 ,#DIV/0!,0.00 ,17.03 ,6.84 ,44.54 ,27.63 ,50.14 
(주)강원랜드,035250,  스포츠 및 오락관련 서비스업,41.94 ,49.43 ,52.94 ,47.80 ,46.28 ,46.15 ,48.98 ,50.64 ,48.39 
(주)강원에너지,114190,  금속가공제품 제조업; 기계 및 가구 제외,74.93 ,80.25 ,76.82 ,78.80 ,82.95 ,83.71 ,98.96 ,93.14 ,114.43 
(주)갤럭시아에스엠,011420,  스포츠 및 오락관련 서비스업,82.45 ,90.23 ,91.26 ,94.72 ,90.09 ,99.15 ,100.41 ,109.45 ,93.75 
(주)경농,002100,  화학물질 및 화학제품 제조업; 의약품 제외,65.50 ,63.41 ,61.44 ,60.19 ,61.33 ,63.11 ,63.54 ,62.52 ,62.53 
(주)경동나비엔,009450,  전기장비 제조업,77.49 ,78.56 ,76.47 ,76.74 ,74.69 ,72.92 ,74.27 ,75.46 ,73.11 
(주)경동도시가스,267290,"  전기, 가스, 증기 및 공기조절 공급업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,91.13 ,92.20 ,92.19 
(주)경동인베스트,012320,"  전기, 가스, 증기 및 공기조절 공급업",93.98 ,95.38 ,95.83 ,95.60 ,93.44 ,90.54 ,0.00 ,48.73 ,45.47 
(주)경방,000050,  섬유제품 제조업; 의복제외,89.36 ,94.42 ,84.38 ,81.36 ,68.07 ,66.94 ,65.38 ,63.71 ,59.78 
(주)경보제약,214390,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,72.73 ,76.38 ,71.50 ,75.53 ,78.76 
(주)경인양행,012610,  화학물질 및 화학제품 제조업; 의약품 제외,85.33 ,85.36 ,80.76 ,80.70 ,84.79 ,84.11 ,84.98 ,76.26 ,76.77 
(주)고려시멘트,198440,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,86.67 ,85.23 ,92.50 
(주)고영테크놀러지,098460,  기타 기계 및 장비 제조업,42.82 ,45.89 ,46.90 ,45.29 ,41.11 ,39.92 ,38.98 ,40.08 ,38.95 
(주)골드앤에스,035290,  교육 서비스업,69.48 ,71.72 ,72.07 ,73.76 ,70.02 ,60.63 ,64.21 ,50.09 ,82.34 
(주)골드퍼시픽,038530,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",59.06 ,69.92 ,117.48 ,166.74 ,136.85 ,84.65 ,39.53 ,25.24 ,70.91 
(주)골프존,215000,  출판업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,32.93 ,38.40 ,35.91 ,40.29 ,40.35 
(주)골프존뉴딘홀딩스,121440,  출판업,48.53 ,43.33 ,45.02 ,44.23 ,26.25 ,1.85 ,2.90 ,3.91 ,94.29 
(주)광림,014200,  자동차 및 트레일러 제조업,83.83 ,87.33 ,86.47 ,85.44 ,75.14 ,85.91 ,84.62 ,82.80 ,84.31 
(주)광명전기,017040,  전기장비 제조업,89.70 ,88.91 ,84.25 ,86.37 ,89.81 ,90.33 ,90.81 ,90.07 ,89.25 
(주)광무,029480,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",80.26 ,82.21 ,101.15 ,82.10 ,77.36 ,82.30 ,81.26 ,82.67 ,82.69 
(주)광주신세계,037710,  소매업; 자동차 제외,36.75 ,36.01 ,35.34 ,34.89 ,33.09 ,32.80 ,32.73 ,13.11 ,11.99 
(주)구영테크,053270,  자동차 및 트레일러 제조업,81.41 ,81.67 ,82.74 ,82.88 ,83.54 ,81.51 ,83.09 ,85.04 ,85.66 
(주)국동,005320,  도매 및 상품 중개업,86.31 ,82.80 ,82.18 ,81.07 ,80.69 ,80.34 ,85.82 ,84.25 ,85.44 
(주)국보,001140,  육상운송 및 파이프라인 운송업,93.32 ,92.96 ,92.89 ,94.50 ,94.28 ,93.14 ,93.52 ,95.78 ,96.92 
(주)국보디자인,066620,"  기타 전문, 과학 및 기술 서비스업",84.80 ,84.02 ,87.06 ,86.20 ,88.23 ,86.52 ,83.51 ,85.53 ,89.06 
(주)국순당,043650,  음료 제조업,57.17 ,55.24 ,57.82 ,60.80 ,64.89 ,59.92 ,61.47 ,61.02 ,64.18 
(주)국영지앤엠,006050,  비금속 광물제품 제조업,100.74 ,98.87 ,95.05 ,94.16 ,98.77 ,96.38 ,94.97 ,98.30 ,95.49 
(주)국전약품,307750,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)그래디언트,035080,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)그리티,204020,"  의복, 의복 액세서리 및 모피제품 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,39.68 ,44.99 
(주)그린플러스,186230,  1차 금속 제조업,0.00 ,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,81.09 
(주)글로벌스탠다드테크놀로지,083450,  기타 기계 및 장비 제조업,67.78 ,66.82 ,71.48 ,72.40 ,68.45 ,66.91 ,69.12 ,69.11 ,62.29 
(주)금비,008870,  비금속 광물제품 제조업,76.38 ,78.89 ,80.27 ,83.29 ,75.63 ,77.07 ,73.48 ,74.20 ,75.31 
(주)금양,001570,  화학물질 및 화학제품 제조업; 의약품 제외,86.37 ,86.58 ,89.86 ,88.55 ,87.49 ,87.24 ,88.18 ,86.52 ,85.68 
(주)금호에이치티,214330,  자동차 및 트레일러 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83.49 ,87.64 ,88.89 ,91.98 ,94.62 
(주)금화피에스시,036190,  전문직별 공사업,75.32 ,76.00 ,79.30 ,82.22 ,82.92 ,82.31 ,77.43 ,76.72 ,79.03 
(주)기가레인,049080,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,79.97 ,80.95 ,118.69 ,102.99 ,83.62 ,84.88 ,120.24 
(주)기산텔레콤,035460,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",88.08 ,76.27 ,78.58 ,77.25 ,81.65 ,78.65 ,79.34 ,84.57 ,74.69 
(주)까뮤이앤씨,013700,  종합 건설업,120.22 ,92.88 ,95.78 ,93.38 ,91.81 ,92.00 ,89.05 ,89.86 ,90.03 
(주)까스텔바작,308100,  소매업; 자동차 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,38.49 
(주)나노,187790,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,117.93 ,117.25 ,82.14 ,85.27 ,86.94 
(주)나노브릭,286750,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,75.56 
(주)나노신소재,121600,  화학물질 및 화학제품 제조업; 의약품 제외,56.13 ,69.42 ,63.97 ,55.71 ,54.08 ,56.59 ,54.58 ,56.85 ,60.49 
(주)나노엔텍,039860,"  의료, 정밀, 광학기기 및 시계 제조업",94.92 ,91.56 ,74.24 ,73.28 ,81.05 ,85.80 ,57.38 ,59.75 ,55.89 
(주)나무가,190510,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88.69 ,94.74 ,97.68 ,94.52 ,93.57 
(주)나스미디어,089600,  전문 서비스업,#DIV/0!,#DIV/0!,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)나이벡,138610,  의료용 물질 및 의약품 제조업,87.60 ,73.71 ,113.09 ,80.86 ,77.66 ,83.35 ,68.97 ,91.13 ,57.17 
(주)나이스디앤비,130580,  사업지원 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)나이스홀딩스,034310,  사업지원 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)나인테크,267320,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)남선알미늄,008350,  1차 금속 제조업,91.31 ,92.16 ,88.41 ,88.61 ,87.45 ,88.26 ,88.95 ,89.97 ,89.26 
(주)남성,004270,  도매 및 상품 중개업,86.15 ,84.87 ,86.37 ,87.50 ,87.04 ,87.19 ,86.26 ,87.72 ,87.54 
(주)내츄럴엔도텍,168330,  연구개발업,#DIV/0!,#DIV/0!,29.02 ,31.90 ,31.24 ,64.82 ,63.97 ,112.70 ,126.31 
