회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,-2488268,-1845332,3038758,-2560438,-1773162,3038758
(주)CMG제약,058820,2012/12,-1453276,-30286514,35260511,-1572581,-30265984,35360511
(주)CMG제약,058820,2013/12,-3891420,20988786,-56948,-3939013,21135376,-156948
(주)CMG제약,058820,2014/12,730447,-13611109,0,724893,-13611109,5451
(주)CMG제약,058820,2015/12,2411254,-8670890,0,2410205,-8670780,822
(주)CMG제약,058820,2016/12,3321352,-56094458,52359861,3321352,-56094458,52359861
(주)CMG제약,058820,2017/12,1948086,-467123,171180,1948086,-467123,171180
(주)CMG제약,058820,2018/12,886779,8779219,0,886779,8779219,0
(주)CMG제약,058820,2019/12,2823387,-70595614,72877952,2823387,-70595614,72877952
(주)DB하이텍,000990,2011/12,61642286,-26649125,-88776492,60749180,-23347990,-88776492
(주)DB하이텍,000990,2012/12,68047966,-40437367,-22718301,73876619,-49272120,-22718301
(주)DB하이텍,000990,2013/12,28528798,-13799557,-18089531,28380938,-14425742,-18089531
(주)DB하이텍,000990,2014/12,47362460,-43422794,1205904,48078139,-43635104,1205904
(주)DB하이텍,000990,2015/12,150510354,-12201261,-71767078,152722221,-12209258,-71767078
(주)DB하이텍,000990,2016/12,247018873,-121028468,-118529941,248312191,-121031883,-118529941
(주)DB하이텍,000990,2017/12,182244045,-101907140,-85790774,183124083,-101904145,-85790774
(주)DB하이텍,000990,2018/12,182780278,-114336834,-50894632,180343534,-117302225,-50894632
(주)DB하이텍,000990,2019/12,160796839,-123827487,-70941329,161078351,-123954602,-70941329
(주)ES큐브,050120,2011/12,1625293,-2631208,0,1107724,-2460979,100000
(주)ES큐브,050120,2012/12,4618957,-4021693,249337,5224759,-4486091,302892
(주)ES큐브,050120,2013/12,4508559,-15525675,18283521,2590980,-14873142,18283521
(주)ES큐브,050120,2014/12,2934159,-6727853,0,2889415,7970827,109920
(주)ES큐브,050120,2015/12,3265832,5644794,0,-2778236,399044,2949998
(주)ES큐브,050120,2016/12,3735385,-27691503,37786301,1240854,-23005177,37786301
(주)ES큐브,050120,2017/12,3989913,-9285270,-1313460,2310978,-6850093,-1313460
(주)ES큐브,050120,2018/12,116879,-9930672,6704278,-1347532,-1328332,4892298
(주)ES큐브,050120,2019/12,1886276,-42892183,35797321,75624795,-18643079,27275835
(주)HJ중공업,097230,2011/12,-297988000,51907000,-71169000,-401788000,41457000,94035000
(주)HJ중공업,097230,2012/12,-227250000,97508000,105359000,-84391000,39701000,-67579000
(주)HJ중공업,097230,2013/12,-186309000,-32693000,42453000,-321347000,-52839000,237949000
(주)HJ중공업,097230,2014/12,-101009000,249783000,-379667000,-238336000,204078000,-211347000
(주)HJ중공업,097230,2015/12,109406000,409000,-245147000,257547000,-32960000,-418692000
(주)HJ중공업,097230,2016/12,78719000,-43927000,-15868000,-36763000,-85380000,91239000
(주)HJ중공업,097230,2017/12,368798000,-36512000,-323602000,385461000,198422000,-572275000
(주)HJ중공업,097230,2018/12,182116000,15886000,-76243000,420195000,-2020000,-318234000
(주)HJ중공업,097230,2019/12,140634000,51752000,-296104000,155934000,36099000,-296104000
(주)MH에탄올,023150,2011/12,4202371,-8074198,4670174,178820,12547367,-9637630
(주)MH에탄올,023150,2012/12,2788992,-4116270,444550,-4906202,1115316,376829
(주)MH에탄올,023150,2013/12,5638467,-4646566,-946920,6114050,-4783523,-1818277
(주)MH에탄올,023150,2014/12,5125822,35174665,-40343385,5159224,-4570335,-40343385
(주)MH에탄올,023150,2015/12,13354086,2921164,-13157831,13384066,2896164,-13157831
(주)MH에탄올,023150,2016/12,12230065,1476767,-15501541,12245831,1461767,-15501541
(주)MH에탄올,023150,2017/12,10755779,-38163673,26811882,3336890,-25459599,35571882
(주)MH에탄올,023150,2018/12,6668746,-2930214,-4494777,-11269669,40276387,-36917995
(주)MH에탄올,023150,2019/12,6417691,-2940840,-3479898,11368931,-3854102,-5342979
(주)SH에너지화학,002360,2011/12,6995359,-3161428,-2854349,5825197,-5936614,-2854349
(주)SH에너지화학,002360,2012/12,363577,-2397506,-1095974,-855725,-1232512,-1095974
(주)SH에너지화학,002360,2013/12,7500585,-2465754,-689969,5949724,-1945785,-689969
(주)SH에너지화학,002360,2014/12,24219262,-2027268,-20288485,24749424,-2050449,-20288485
(주)SH에너지화학,002360,2015/12,24557427,-4907393,-7855244,24630676,-4985240,-7798670
(주)SH에너지화학,002360,2016/12,11581159,2952558,-8423234,11685757,3930942,-8723234
(주)SH에너지화학,002360,2017/12,16292838,-4392721,-6093691,14208400,-1347063,-6093691
(주)SH에너지화학,002360,2018/12,4284684,-3473611,-4862180,5202762,-4046569,-4917195
(주)SH에너지화학,002360,2019/12,14508726,-5156722,1774177,16081690,-6337450,1774177
(주)SIMPAC,009160,2011/12,18174973,-9139505,10854451,18427061,-8704426,10854451
(주)SIMPAC,009160,2012/12,12986618,-50742985,-2363232,13157000,-50742985,-2363232
(주)SIMPAC,009160,2013/12,11709355,-49065961,23306146,12060558,-49795709,23306146
(주)SIMPAC,009160,2014/12,29061253,18185471,-37652680,34443800,10539189,-28130371
(주)SIMPAC,009160,2015/12,10489830,-24960399,9501031,10256628,-15982486,3951056
(주)SIMPAC,009160,2016/12,30470575,1868196,-8572094,35245662,-4526973,-4452346
(주)SIMPAC,009160,2017/12,-13628628,-1221063,-670362,-9543549,-377362,-10260990
(주)SIMPAC,009160,2018/12,36290248,34121439,5090742,37360242,34396141,10049492
(주)SIMPAC,009160,2019/12,45146571,-33505559,-5779168,37470315,-30908323,9041402
(주)SNT에너지,100840,2011/12,-17274075,874182,7410441,,,
(주)SNT에너지,100840,2012/12,26635237,-382322,-1152895,,,
(주)SNT에너지,100840,2013/12,20128884,1754576,-1367552,,,
(주)SNT에너지,100840,2014/12,-24774316,-126524,-2125384,,,
(주)SNT에너지,100840,2015/12,2204846,-388071,-9166626,,,
(주)SNT에너지,100840,2016/12,35017765,-6276169,-3592306,,,
(주)SNT에너지,100840,2017/12,-5579426,6227623,0,,,
(주)SNT에너지,100840,2018/12,14435813,-6856584,-4717348,,,
(주)SNT에너지,100840,2019/12,-40057737,1138349,-62208,-40064824,4716326,-3125295
(주)SNT홀딩스,036530,2011/12,9351556,38205174,-14497222,86981830,-23825834,-67930291
(주)SNT홀딩스,036530,2012/12,8670824,-21698925,-8244327,57310654,-42613065,-58140417
(주)SNT홀딩스,036530,2013/12,7969284,-5576358,505143,94174241,-22586456,11154683
(주)SNT홀딩스,036530,2014/12,6847661,-10037839,-4824614,95278602,-53040189,-75561285
(주)SNT홀딩스,036530,2015/12,7958287,25411785,-2994804,120263344,-47887660,42864721
(주)SNT홀딩스,036530,2016/12,761622,-5487797,-3880173,143865685,-50764586,-20648764
(주)SNT홀딩스,036530,2017/12,6184231,-18991272,-5527452,104208804,-87582797,-31461098
(주)SNT홀딩스,036530,2018/12,6691516,-6658574,-9582718,128942884,-181259322,-91314393
(주)SNT홀딩스,036530,2019/12,10098608,3067340,-14776552,89185851,27442503,-10380938
(주)STX,011810,2011/12,-108220000,-311014000,312651000,55801000,-738589000,453660000
(주)STX,011810,2012/12,159192000,-170700000,-58448000,250636000,-546582000,373696000
(주)STX,011810,2013/12,85353000,256801000,-316469000,130779000,-28285000,-343552000
(주)STX,011810,2014/12,-78562000,25152000,88352000,-76097000,44980000,77015000
(주)STX,011810,2015/12,28936000,41271000,-101779000,-15950000,42142000,-61762000
(주)STX,011810,2016/12,31638000,48420000,-107426000,57833000,53174000,-140896000
(주)STX,011810,2017/12,93844000,45598000,-83177000,100295000,47311000,-96231000
(주)STX,011810,2018/12,-51274000,22829000,-27927000,-48114000,24797000,-28778000
(주)STX,011810,2019/12,12558000,-35804000,24610000,528000,-26727000,21637000
(주)TCC스틸,002710,2011/12,-8210627,-34958575,36856980,-10245999,-33632208,37294243
(주)TCC스틸,002710,2012/12,10878979,-32640959,23360930,-4610373,-43256998,58745746
(주)TCC스틸,002710,2013/12,21218485,-35681571,12449418,-29220038,12243850,15086672
(주)TCC스틸,002710,2014/12,13870764,-28226203,12897730,-21440429,4309765,9083392
(주)TCC스틸,002710,2015/12,36353152,-15629867,-19472677,30047778,21985692,-47690562
(주)TCC스틸,002710,2016/12,-34206656,87807785,-52968874,-35273178,87996322,-54304570
(주)TCC스틸,002710,2017/12,-7248002,671217,5097295,-1168958,272218,998322
(주)TCC스틸,002710,2018/12,13968719,-2184262,-4905789,21492009,-637436,-6479222
(주)TCC스틸,002710,2019/12,-251282,-11360066,10727544,-6746810,-11936714,10082864
(주)가비아,079940,2011/12,6750777,-5828440,-1372783,9650833,-10140435,2707032
(주)가비아,079940,2012/12,9005290,-16004942,7027128,13224986,-20717005,8510485
(주)가비아,079940,2013/12,6245989,-1682086,-2043346,12813443,-9998158,-3471415
(주)가비아,079940,2014/12,8696486,-7744206,-924902,16223625,-10913796,-1874697
(주)가비아,079940,2015/12,10152135,-1800461,-3500706,19257887,-8773166,-3350514
(주)가비아,079940,2016/12,9339489,-10755258,-391060,17871404,-18247920,2076073
(주)가비아,079940,2017/12,8670614,-6515005,-391060,20444884,-8859280,-5792982
(주)가비아,079940,2018/12,9241321,-8098967,608940,21870330,-22923889,1115424
(주)가비아,079940,2019/12,13243609,-13094318,-2465787,36950567,-29988807,-8620801
(주)강스템바이오텍,217730,2015/12,-3800024,-12058913,21489927,,,
(주)강스템바이오텍,217730,2016/12,-7796613,-26722204,30170015,,,
(주)강스템바이오텍,217730,2017/12,-10267751,5871865,5753187,-10646869,6469317,6163311
(주)강스템바이오텍,217730,2018/12,-11298071,-25397225,35740905,-11476851,-25834675,36619657
(주)강스템바이오텍,217730,2019/12,-11097344,-33356662,47081570,-13321543,-38130531,55910992
(주)강원랜드,035250,2011/12,428912416,-198767256,-218788013,417827759,-187763915,-218788013
(주)강원랜드,035250,2012/12,458412852,-232183363,-194378359,446539739,-216998936,-194378359
(주)강원랜드,035250,2013/12,432139763,-229555921,-153067943,424407127,-193315698,-152767943
(주)강원랜드,035250,2014/12,516728788,-404621440,-147999469,510413141,-427372634,-147999469
(주)강원랜드,035250,2015/12,581804341,-399445183,-172328148,574981576,-398949073,-172328148
(주)강원랜드,035250,2016/12,600686651,-414060181,-198684218,596486851,-411462350,-197744218
(주)강원랜드,035250,2017/12,465968987,-253342340,-200711608,463050000,-250223124,-200251608
(주)강원랜드,035250,2018/12,366067885,-205028726,-200711608,363918692,-202048061,-202353847
(주)강원랜드,035250,2019/12,408994810,-212758098,-184472055,407868874,-211308893,-184753547
