,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율
0,(주)CMG제약,58820,11-Dec,3.94,3.53,3.53
1,(주)CMG제약,58820,12-Dec,-7.45,-7.75,-7.75
2,(주)CMG제약,58820,13-Dec,0.73,0.7,0.7
3,(주)CMG제약,58820,14-Dec,3.63,3.6,3.6
4,(주)CMG제약,58820,15-Dec,-32.2,-32.22,-32.22
5,(주)CMG제약,58820,16-Dec,77777777.77,77777777.77,11111111.11
6,(주)CMG제약,58820,17-Dec,77777777.77,77777777.77,11111111.11
7,(주)CMG제약,58820,18-Dec,77777777.77,77777777.77,11111111.11
8,(주)CMG제약,58820,19-Dec,303.0,303.0,303.0
9,(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75
10,(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31
11,(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16
12,(주)DB하이텍,990,14-Dec,0.67,0.67,0.67
13,(주)DB하이텍,990,15-Dec,2.49,2.5,2.5
14,(주)DB하이텍,990,16-Dec,4.39,4.41,4.41
15,(주)DB하이텍,990,17-Dec,6.01,6.05,6.05
16,(주)DB하이텍,990,18-Dec,6.76,6.77,6.77
17,(주)DB하이텍,990,19-Dec,13.43,13.44,13.44
18,(주)ES큐브,50120,11-Dec,-142.77,-245.99,-245.99
19,(주)ES큐브,50120,12-Dec,20.03,1.72,1.72
20,(주)ES큐브,50120,13-Dec,9.51,-37.44,-37.44
21,(주)ES큐브,50120,14-Dec,4.0,22.2,22.2
22,(주)ES큐브,50120,15-Dec,-160.57,-11.86,-11.86
23,(주)ES큐브,50120,16-Dec,11.58,8.98,8.98
24,(주)ES큐브,50120,17-Dec,2.76,2.86,2.86
25,(주)ES큐브,50120,18-Dec,0.47,-0.82,-0.82
26,(주)ES큐브,50120,19-Dec,0.17,-0.68,-0.68
27,(주)HJ중공업,97230,11-Dec,0.34,0.55,0.55
28,(주)HJ중공업,97230,12-Dec,0.17,0.27,0.27
29,(주)HJ중공업,97230,13-Dec,-0.72,-0.4,-0.4
30,(주)HJ중공업,97230,14-Dec,-0.78,-0.88,-0.88
31,(주)HJ중공업,97230,15-Dec,-0.75,-0.5,-0.5
32,(주)HJ중공업,97230,16-Dec,0.4,-0.58,-0.58
33,(주)HJ중공업,97230,17-Dec,0.89,-1.08,-1.08
34,(주)HJ중공업,97230,18-Dec,-0.66,0.62,0.62
35,(주)HJ중공업,97230,19-Dec,0.64,0.69,0.69
36,(주)MH에탄올,23150,11-Dec,1.5,0.12,0.12
37,(주)MH에탄올,23150,12-Dec,1.64,1.08,1.08
38,(주)MH에탄올,23150,13-Dec,3.44,0.87,0.87
39,(주)MH에탄올,23150,14-Dec,5.62,5.62,5.62
40,(주)MH에탄올,23150,15-Dec,12.7,12.69,12.69
41,(주)MH에탄올,23150,16-Dec,29.42,29.41,29.41
42,(주)MH에탄올,23150,17-Dec,33.29,3.46,3.46
43,(주)MH에탄올,23150,18-Dec,8.73,0.1,0.1
44,(주)MH에탄올,23150,19-Dec,7.59,0.73,0.73
45,(주)SH에너지화학,2360,11-Dec,3.5,2.82,2.82
46,(주)SH에너지화학,2360,12-Dec,2.26,1.72,1.72
47,(주)SH에너지화학,2360,13-Dec,5.95,5.3,5.3
48,(주)SH에너지화학,2360,14-Dec,25.43,26.68,26.68
49,(주)SH에너지화학,2360,15-Dec,85.0,84.87,84.87
50,(주)SH에너지화학,2360,16-Dec,209.47,210.93,210.93
51,(주)SH에너지화학,2360,17-Dec,155.23,162.17,162.17
52,(주)SH에너지화학,2360,18-Dec,30.8,22.72,22.72
53,(주)SH에너지화학,2360,19-Dec,-18.2,-24.12,-24.12
54,(주)SIMPAC,9160,11-Dec,20.95,20.93,20.93
55,(주)SIMPAC,9160,12-Dec,15.59,15.51,15.51
56,(주)SIMPAC,9160,13-Dec,16.68,16.58,16.58
57,(주)SIMPAC,9160,14-Dec,9.26,8.48,8.48
58,(주)SIMPAC,9160,15-Dec,23.49,14.66,14.66
59,(주)SIMPAC,9160,16-Dec,20.91,16.75,16.75
60,(주)SIMPAC,9160,17-Dec,15.27,10.1,10.1
61,(주)SIMPAC,9160,18-Dec,3.25,4.07,4.07
62,(주)SIMPAC,9160,19-Dec,2.86,3.47,3.47
63,(주)SNT에너지,100840,11-Dec,-9.21,77777777.77,-9.21
64,(주)SNT에너지,100840,12-Dec,77.44,77777777.77,77.44
65,(주)SNT에너지,100840,13-Dec,50.81,77777777.77,50.81
66,(주)SNT에너지,100840,14-Dec,41.09,77777777.77,41.09
67,(주)SNT에너지,100840,15-Dec,359.1,77777777.77,359.1
68,(주)SNT에너지,100840,16-Dec,77777777.77,77777777.77,11111111.11
69,(주)SNT에너지,100840,17-Dec,77777777.77,77777777.77,11111111.11
70,(주)SNT에너지,100840,18-Dec,77777777.77,77777777.77,11111111.11
71,(주)SNT에너지,100840,19-Dec,2833.92,1771.27,1771.27
72,(주)SNT홀딩스,36530,11-Dec,77777777.77,16.87,16.87
73,(주)SNT홀딩스,36530,12-Dec,77777777.77,20.28,20.28
74,(주)SNT홀딩스,36530,13-Dec,77777777.77,30.38,30.38
75,(주)SNT홀딩스,36530,14-Dec,77777777.77,34.38,34.38
76,(주)SNT홀딩스,36530,15-Dec,77777777.77,218.55,218.55
77,(주)SNT홀딩스,36530,16-Dec,77777777.77,286.46,286.46
78,(주)SNT홀딩스,36530,17-Dec,77777777.77,178.66,178.66
79,(주)SNT홀딩스,36530,18-Dec,77777777.77,59.79,59.79
80,(주)SNT홀딩스,36530,19-Dec,77777777.77,184.05,184.05
81,(주)ST,11810,11-Dec,0.67,1.66,1.66
82,(주)ST,11810,12-Dec,0.19,-3.12,-3.12
83,(주)ST,11810,13-Dec,-0.8,-10.71,-10.71
84,(주)ST,11810,14-Dec,0.53,0.76,0.76
85,(주)ST,11810,15-Dec,-0.42,-0.84,-0.84
86,(주)ST,11810,16-Dec,-2.95,-0.91,-0.91
87,(주)ST,11810,17-Dec,1.56,2.02,2.02
88,(주)ST,11810,18-Dec,-0.58,-1.12,-1.12
89,(주)ST,11810,19-Dec,-1.05,0.11,0.11
90,(주)TCC스틸,2710,11-Dec,1.8,1.41,1.41
91,(주)TCC스틸,2710,12-Dec,1.44,0.57,0.57
92,(주)TCC스틸,2710,13-Dec,1.01,-0.59,-0.59
93,(주)TCC스틸,2710,14-Dec,1.31,0.02,0.02
94,(주)TCC스틸,2710,15-Dec,2.11,2.17,2.17
95,(주)TCC스틸,2710,16-Dec,2.36,2.53,2.53
96,(주)TCC스틸,2710,17-Dec,1.41,1.55,1.55
97,(주)TCC스틸,2710,18-Dec,3.46,3.3,3.3
98,(주)TCC스틸,2710,19-Dec,2.34,2.27,2.27
99,(주)가비아,79940,11-Dec,10.88,22.28,22.28
