회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),,,,
(주)CMG제약,58820,11-Dec,3.94,3.53,,,,
(주)CMG제약,58820,12-Dec,-7.45,-7.75,,,,
(주)CMG제약,58820,13-Dec,0.73,0.7,,,,
(주)CMG제약,58820,14-Dec,3.63,3.6,,,,
(주)CMG제약,58820,15-Dec,-32.2,-32.22,,,,
(주)CMG제약,58820,16-Dec,X,X,,,,
(주)CMG제약,58820,17-Dec,X,X,,,,
(주)CMG제약,58820,18-Dec,X,X,,,,
(주)CMG제약,58820,19-Dec,303,303,,,,
(주)DB하이텍,990,11-Dec,-0.69,-0.75,,,,
(주)DB하이텍,990,12-Dec,-0.29,-0.31,,,,
(주)DB하이텍,990,13-Dec,-0.16,-0.16,,,,
(주)DB하이텍,990,14-Dec,0.67,0.67,,,,
(주)DB하이텍,990,15-Dec,2.49,2.5,,,,
(주)DB하이텍,990,16-Dec,4.39,4.41,,,,
(주)DB하이텍,990,17-Dec,6.01,6.05,,,,
(주)DB하이텍,990,18-Dec,6.76,6.77,,,,
(주)DB하이텍,990,19-Dec,13.43,13.44,,,,
(주)ES큐브,50120,11-Dec,-142.77,-245.99,,,,
(주)ES큐브,50120,12-Dec,20.03,1.72,,,,
(주)ES큐브,50120,13-Dec,9.51,-37.44,,,,
(주)ES큐브,50120,14-Dec,4,22.2,,,,
(주)ES큐브,50120,15-Dec,-160.57,-11.86,,,,
(주)ES큐브,50120,16-Dec,11.58,8.98,,,,
(주)ES큐브,50120,17-Dec,2.76,2.86,,,,
(주)ES큐브,50120,18-Dec,0.47,-0.82,,,,
(주)ES큐브,50120,19-Dec,0.17,-0.68,,,,
(주)HJ중공업,97230,11-Dec,0.34,0.55,,,,
(주)HJ중공업,97230,12-Dec,0.17,0.27,,,,
(주)HJ중공업,97230,13-Dec,-0.72,-0.4,,,,
(주)HJ중공업,97230,14-Dec,-0.78,-0.88,,,,
(주)HJ중공업,97230,15-Dec,-0.75,-0.5,,,,
(주)HJ중공업,97230,16-Dec,0.4,-0.58,,,,
(주)HJ중공업,97230,17-Dec,0.89,-1.08,,,,
(주)HJ중공업,97230,18-Dec,-0.66,0.62,,,,
(주)HJ중공업,97230,19-Dec,0.64,0.69,,,,
(주)MH에탄올,23150,11-Dec,1.5,0.12,,,,
(주)MH에탄올,23150,12-Dec,1.64,1.08,,,,
